# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
145-001	하늘이, 마치 피 색이다.
145-042	둘 다, 나를 남겨 두고 아래로 내려간다.
145-043	……그녀 말이 맞다.
145-044	그만두는 게 좋다.
145-045	키츠…… 이건 젊은 시절의 키츠다.
145-046	어, 혹시 지금……, 나…… 그가 되어 있었나?⏎기억이 보이고, 그의 생각이 들려 왔어?
145-047	……무척, 비참했다.
145-048	지금은 고개를 떨구고, 가만히 발밑의 흙을 보고 있다.
145-049	키츠……,
145-050	……당신은, 견디지 못했던 거구나.
145-051	"뭐야───!?"
145-052	뭐……?
145-053	어, 어!? 혹시…… 나를 볼 수 있는 거야!?⏎그런데 이거, 그의 기억, 맞잖아!? 어, 어떻게 된 거야!?
145-054	잠깐, 이거…… 혹시…… 타임슬립 같은 거야!?⏎나…… 지금 진짜 여기 있는 거야!?
145-055	그, 그럼…… 이거…… 현실인 거야……?
145-056	오한이 쫙 온몸을 스쳐 간다.
145-057	혹시…… 이 광경……,
145-058	RMI 분리……다.
145-059	"너, 너는…… 살아남은 건가!?"
145-060	"저, 제가!? 저는───"
145-061	"아아…… 나는 최악이야……"
145-062	"무척 기쁜 거야…… 아는 얼굴이 살아 있어서……, 최악이야"
145-063	"뭐, 그렇지, 하하하…… 역시 그 년 말이 맞아.⏎……왜 내가 여기 온 거지"
145-064	"악몽이야…… 전부 다……"
145-065	"이게 사는 거란 말인가……?"
145-066	"……차라리…… 그렇다면"
145-067	"키, 키츠, 그런───"
145-068	"하───?"
145-069	"왜 내 본명을 알고 있지?"
145-070	"……"
145-071	"왜…… 그런 걸……"
145-072	"언제부터……? 아니…… 이건 다이브인가"
145-073	"나는…… 여기에 없다"
145-074	그가 일어난다.
145-075	"……믿기지 않는군"
145-076	"너를…… 기억해 내는 건가?⏎어째서…… 이런 건 있을 수 없는데…… 아직───……"
145-077	"니아 케나───너는 대체 뭐냐?"
145-078	"!?"
145-079	"연결도 없이, 이런 걸 할 수 있는 사람은 처음 본다……"
145-080	"……"
145-081	"이게 100년 전이나 1000년 전이라면 넌 괴물 취급을 받았을 거다"
145-082	"지금 세상에서도, 네가 죽는 편이 세상에 이롭다"
145-083	"무, 무슨……?"
145-084	"……"
145-085	"아니면───그래서일까, 그 여자가 또 너에게서 희망을 본 걸지도 몰라"
145-086	"흠…… 빠져나갈 구멍 중 하나인가……? 하지만 계산이 안 맞는데……"
145-087	뭘 중얼중얼……?
145-088	"……아무래도 뭔가 수상하군"
145-089	"그건 무슨……?"
145-090	"너는, 내 머릿속에라도 덮어쓸 셈이었나?⏎뭐, 잘도 왔군"
145-091	"여기서 본 건 최악이겠지"
145-092	"이 실천사는, 언제……?"
145-093	"……"
145-094	"여기까지다───너를 내쫓아 주지"
145-095	"……알 것 같아"
145-096	"당신은…… 정말 겁쟁이구나"
145-097	"정말 그 년의 학생이군, 너는……"
145-098	"하지만 말이지, 니아───난 내가 옳았다고 생각해"
145-099	"나와 너는, 서로 닮았어…… 즉───"
145-100	"하…… 하하……"
145-101	"사람이 진짜로 모든 걸 잃는 모습을, 차라리 보여 주지"
145-102	!?
145-103	조각이…… 울부짖고 있어!?
145-104	표면이 붉게 빛나고…….
145-105	이건───펄스 현상!?
145-106	견디지 못하고 무릎을 꿇는다───머리에 박히는 듯한 금속음……!
145-107	직접 듣게 되다니…… 들은 얘기보다 훨씬 심해……!
145-108	"알겠나───이건 아이온 레코더로는 전해지지 않아"
145-109	!?
145-110	"내가 본 게 보이지"
145-111	……어깨를 들썩이며 숨을 몰아쉬면서, 간신히 대답한다.
145-112	"말하고 싶지…… 않아……"
145-113	"왜 나한테 이런 걸……?"
145-114	"네가 미워서야. 네 모든 게 싫어서야"
145-115	"이게 세상이다"
145-116	"그래도 아직 맞설 텐가?"
145-117	지금 보이는 것 따위…… 제대로 생각하고 싶지 않아.
145-118	찢기고───조여지고───할퀴어지고───⏎후벼 파이고───새겨지고───무너져 내리는 듯한───
145-119	이거…… 이게 전부라니……!
145-120	……이게 바로 내가 계속 두려워해 온 것───그런데……,
145-121	……이게 벌어지고 있는 건, 지금이 아니야.
145-122	이건 과거의 일이야.
145-123	그런데 이렇게 이만한 공포 따위……,
145-124	다시는 누구에게도 제대로 마주하고 느끼게 하고 싶지 않아.
145-125	……
145-126	나는 일어났다. 아직 떨리는 몸으로.
145-127	"……"
145-128	"……"
145-129	"아직 끝나지 않았어"
145-130	"아직 할 수 있는 일이 있을 거야"
145-131	키츠가 고개를 갸웃거린다───그 순간 나에게 쏟아지는 강렬한 심상.
145-132	보이는 건, 사람들이 서로 붙잡고 있는 광경.⏎서로의 손톱이 상대 얼굴에 철썩 박혀 들어간다.⏎사방으로 퍼져 나가는 죽음. 불길에 뒤덮이지 않은 곳이 없다.
145-133	이게 바로 지옥───'코에부스 인페르나움'.
145-134	아무래도 키츠는 이제…… 입을 다문 모양이다.
145-135	……나도 마찬가지다.
145-136	정신을 나 자신에게 집중한다.
145-137	그리고 떠올린다───여기 와 준 스토리 씨를.⏎자신의 과거를 얘기해 준 아이리스 씨를.⏎뿔뿔이 흩어진 우리를 이어 준 아야메 씨를.
145-138	……그리고 메이를 떠올린다.
145-139	마치 모두를 느낄 수 있는 듯한……,⏎그래, 여기에…… 바로 옆에 모두가 함께 있어 준다는 느낌마저 든다.
145-140	분명 예전의 나였다면 지금쯤 이미 유리처럼 산산조각 났을 거다.
145-141	아니면 예전의 나였다면 이미───한참 전에 한계였을까.
145-142	하지만───지금은 이미 달라.
145-143	그 광경을 머릿속에서 밀어낸다. 조각을 쫓아냈다.
145-144	그리고 지금, 키츠와 나…… 양쪽의 의지.⏎그 둘이 서로의 주위를 격렬하게, 아름답게 춤추고 있었다…….
145-145	……여기까지 와서, 포기하거나 하지 않아.
145-146	내가 포기할까 보냐───다시는.
