# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
208-001	깨어난 곳은───보도 위.
208-077	그렇게 생각하는 사이에, 스토리가 갑자기 달려 나가려 했다.⏎즉시 아이리스가 밀어 넘어뜨려, 그대로 둘이서 쓰러졌다.⏎나는───갑작스러워 따라가지 못하고, 철퍽 주저앉을 뿐이다.
208-078	바로 정신을 차리고, 일어나려 하자───,
208-079	스토리가……큰 소리로 울부짖기 시작해서, 그 자리에서 나는 굳었다.
208-080	"떨어져! 놓아 줘!! 비켜!! 비키라고!!"
208-081	"크윽……"
208-082	팔딱팔딱 뒹굴며, 스토리는 아이리스를 뿌리치려 한다.
208-083	다이브는 무의미했던 걸까……?
208-084	애초에……저런 식으로 그녀의 마음에 작용해도 좋았던 걸까?
208-085	"나 있잖아……"
208-086	……?
208-087	"……화해할 수 있었어, 친구와. 그거, 네 덕이지?⏎아야메의 등을 네가 밀어 줘서. 거기서, 전부 시작된 거야"
208-088	"니아가 혼자 바보짓하러 갔을 때도 그렇고,⏎너는 놓치지 않고, 즉시 망설이지 않고, 도와줬잖아"
208-089	"그리고 너에겐 가족이 있어. 딱 한 명일지도 모르지만 말이야.⏎그래도 너의 진짜 가족이야.⏎너는 누군가에게, 이미 가치 있는 존재인 거야"
208-090	……
208-091	"정말로 가치 없는 인간이 그런 걸, 하나라도 할 수 있겠어. 응?⏎정말 농담도 정도가 있지"
208-092	"크윽……! 윽……으으……"
208-093	스토리가…….
208-094	……스토리가, 울고 있어?
208-095	……천천히 아이리스는 무릎을 꿇고, 스토리를 일으켰다.⏎그대로, 꼭 그 몸을 끌어안는다.
208-096	"너한테 심한 말을 한 녀석은, 진실을 말한다고 생각했을지도 몰라.⏎그런데 아니야. 그 녀석들이 본 건, 진짜 그 녀석의 모습인 거야"
208-097	"잘 들어. 가치를 못 찾는 건, 그 녀석들이 쓰레기라서야.⏎자기들이 진흙 이하의 존재라서, 주변이 쓰레기로 보일 뿐이야.⏎그런 녀석들은 말이야, 알아서 뒈져 있으면 돼"
208-098	"나는 오늘, 지금 여기서 너와 있어.⏎왜냐면 네가 소중하니까. 너를 혼자 두고 싶지 않으니까"
208-099	"애초에 말이야, '가치'라는 건 스스로 만드는 거야.⏎이 세계에서 살아가려면, 너는 여기 있는 거야"
208-100	"의미 같은 건 잊어. 가지고 있든 없든 괜찮아.⏎굳이 필요하다면, 찾는 게 목적이야.⏎그것도 못 찾겠다면……"
208-101	"우리가 함께 찾아줄게. 그러니 우리가 도울 수 있게 해 줘"
208-102	"알겠어?"
208-103	아이리스의 품에 안겨, 스토리는 계속 운다.
208-104	……나도 곁에서 등을 쓸어준다.
208-105	스토리는 그 뒤로도 계속 울고 있었다.⏎어두운 방에서, 눈물이 마를 때까지 우리는 함께 있었다.
208-106	"……"
208-107	"……"
