# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
173-001	여
173-080	"지금도 그래, 그렇게 생각해. 틀렸다고도 생각 안 들어……"
173-081	"……"
173-082	"하지만 실제로, 주변 녀석들은 대개 그런 걸 신경 안 써.⏎평소처럼 다시 말 걸어 주거나, 용서해 주거나, 뭐 그런 거"
173-083	"적어도 우리───,⏎'AARC' 멤버나 네 친구들의 경우는 그래.⏎나는 오늘, 그걸 전하러 왔어───다들 신경 안 써"
173-084	"……그럼, 린은?"
173-085	"린은……"
173-086	"……"
173-087	"……나 있잖아, 펠과 연락을 취하려고 하고 있어"
173-088	"……펠?…… 왜?"
173-089	"뭐……"
173-090	"그 녀석과 얘기하면, 부탁을 들어 줄지도 몰라.⏎무리면 무리대로, 쓸 만한 얘기라도 들을 수 있겠지"
173-091	"……"
173-092	"빙빙 돌려 말하지 마. 무슨 뜻이야?"
173-093	……
173-094	그럼 바로 본론으로 갈까.
173-095	"아야메…… 그 녀석이 어떤 놈인지 생각해 봐.⏎학교 하나 통째로 조종하거나, 하늘까지 떨어뜨릴 수 있는 녀석이야.⏎다이브로 망가진 네 친구 팔, 못 고칠 리가 있냐?"
173-096	"……!"
173-097	"우리로서는 무리다, 아직은. 시도하기엔 너무 위험해.⏎하지만 펠이라면 십중팔구 할 수 있을 거야.⏎실제로, 그 성격을 생각하면……"
173-098	……아마 아직 린을 고치지 않은 건, 뭔가 속셈이 있을 거다…….
173-099	"뭐, 나는 그 녀석이면 할 수 있다고 보는 쪽이야.⏎그 녀석한테 빚을 갚는 셈 치고 부탁했다가 거절당해도,⏎린이 어디 있는지 정도는 알게 될지도 모르고, 그럼 대책도 세우겠지"
173-100	"그런…… 안 돼, 아이리스…… 그 녀석과 엮이다니……!⏎내버려 두면 되잖아…… 어떻게든 다 같이……"
173-101	"아무튼 다 같이…… 평범하게 살고……,⏎그리고───그리고 다른 방법을 생각하자?⏎그야…… 어쩌면 니아라면───"
173-102	"……"
173-103	"나는 정했어……"
173-104	"내가 움직여서 뭔가 바꿀 수 있다면, 그렇게 하겠다고"
173-105	"그러니까 나는 무리야.⏎내가 할 수 있는 게 있는데 그냥 앉아 있는 건.⏎이제 두 번 다시는 안 해"
173-106	"그런 거야, 미안…… 내가 네 인생을 흔드는 게 싫으면,⏎친구 잘못 고른 네 자신을 탓해"
173-107	"나는 친구한테 구원받았어.⏎그럼 나도, 네 망가진 걸 고쳐 줄게"
173-108	"아, 아이리스……"
173-109	그렇게 말하고 뒤돌아 문에 손을 얹었다.
173-110	"곧 또 보자. ……정말 얼른 얼굴 좀 내밀어?"
173-111	고개를 돌려 어깨 너머로 아야메를 봤다.
173-112	"메이가 네 얘기를 자꾸 물어봐서 나도 슬슬 곤란하다고"
173-113	아야메가 눈을 동그랗게 뜨며 떨었다. 그리고 뭔가 말을 꺼내기 전에───
173-114	문고리를 돌려, 방을 나갔다.
173-115	……
173-116	좋아.
173-117	우선 작은 한 걸음씩…… 쌓아 가자.
