# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
219-001	아이리스……아이리스가……,
219-086	"괜찮아 보여? 돌아갈 거면, 아슬아슬하게 전철은 있어"
219-087	"타려면 슬슬, 뛰어가야 하지만"
219-088	"너희들 일, 내 친구가 알려 줘서 다행이었어.⏎아직 아무것도 못 했지만. 가장 가까운 역까지는 데려다줄게?"
219-089	나는 눈을 감는다……그래……집중해서……집중……,
219-090	"……저기, 그 친구라는……이름은……?"
219-091	"아아……모를지도 모르지만, 시미즈 레인이라는 애야"
219-092	레인……? 어───그 레인!? 펠의 동료의!?
219-093	무슨 일이야───아니, 잠깐, 침착하자…….
219-094	"……"
219-095	"와 줘서 고맙습니다.⏎괜찮으면 연락처, 교환하지 않을래요? 저는……다카츠키 아야메입니다"
219-096	"오, 물론이지. 그런데 아야메네들은, 세이코에 온 건 왜야?⏎아니, 왜 전원이 다른 학교인 거야?"
219-097	서로 커넥트로 친구 등록을 하면서, 대답한다.
219-098	"지금은 머리가, 멍해서, 제대로 설명 못 하지만,⏎저희……정부의 묘한 프로그램에 참가하고 있어요.⏎'AARC'라고 하는데"
219-099	"진짜? 너희도 그거야? 우연이네~!"
219-100	……
219-101	……에?
219-102	"자, 그럼. 얘들아 파리피들, 일어나─! 막차 놓친다!"
219-103	그녀가 슬쩍 말한 것의 진의를 들을 틈도 없이……,
219-104	츠루는 투어 가이드처럼, 아직 혼란이 가라앉지 않은 우리를 정리해서,⏎친절하게도 왔던 역까지 데려다줬다.⏎게다가……우리가 휘청거리는 걸, 역장에게까지 전해 줬다.
219-105	니아는……따라오라고 하자 얌전히 따라왔다…….⏎그런데, 오히려 걱정일지도. 멍하니 서 있는 것보다도, 훨씬.
219-106	아무튼 우리는 막차가 되기 직전인 열차에 올라탔다.⏎츠루와도, 제대로 얘기하지 못한 채……,
219-107	그런데 분명……조만간 또 만날 수 있겠지.
