# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
195-001	마음과 마음이 부딪치는 가운데───,
195-052	되쏘아 노려보는 린. 직후, 격하게 부딪치는 우리.⏎그녀의 핵심 부분에, 내가 스며드는 것이 느껴진다.
195-053	도망치지 못하도록 린의 온몸을 감싸, 눌러 봉인한다…….
195-054	이건, 아까의 앙갚음……!
195-055	그녀를 끌어당긴다. 세게, 있는 힘껏……!
195-056	그리고 둘 사이에 반짝이는 강한 빛───.
195-057	───?
195-058	뭐……,
195-059	갑자기…… 속이 안 좋아…… 대체 뭐가……,
195-060	저건───,
195-061	"……! 윽……"
195-062	끝난…… 거야?
195-063	마…… 마지막에, 이상한 느낌이 됐지만……,
195-064	린의 감정을…… 리셋할 수 있었…… 던 거야……?
195-065	───……
195-066	그 표정…… 뭐가, ……왜 그래……,
195-067	게다가 바인드가───
195-068	"……린───"
195-069	"팔이……"
195-070	"어……?"
195-071	"안 움직여……"
195-072	───
195-073	"……어?"
195-074	"팔이, 억……"
195-075	"팔…… 안 움직여……"
195-076	안 돼
195-077	안 돼 안 돼 안 돼 안 돼 안 돼 안 돼 안 돼 안 돼───
195-078	왼손을 들어 올려, 린은 오른손 쪽으로 뻗는다.
195-079	무릎 위에 놓인, 꿈쩍도 안 하는 손목을 쥔다.
195-080	그것을 들어 올려───오른쪽 팔걸이를 넘은 곳에서, 툭 놓는다.
195-081	그녀의 오른손은 툭 떨어져, 그대로…… 팔이 계속 흔들려서
195-082	그런
195-083	"하하…… 아하하하하───!⏎나보다 충격받은 얼굴을 하고 있잖아……!?"
195-084	"린───"
195-085	"뭐, 뜻대로 안 되는 손이 하나 더 늘었을 뿐이지……?"
195-086	"린, 나───나, 지금 바로 다시 들어가서……"
195-087	"……"
195-088	"……들어가서…… 어쩔 건데? 왼손도 가져갈 거야?"
195-089	……
195-090	이거…… 일시적, 인 거지?⏎마음을…… 감정을 바꿀 때처럼……,
195-091	다───다이브 때문에 신경 회로가 이상해진다는 얘긴, 들은 적……!
195-092	"믿───믿기지 않아. 정말 감각이 없어, 살아 있지 않은 것 같아……,⏎아하…… 아하하하하……"
195-093	……
195-094	모든 게 마음에서 생긴다면……
195-095	물론 이런 일도 있을 수 있겠지.
195-096	나는, 끊어 버린 거다.
195-097	뭔가 있어도 이어져 있어야 했던, 무엇인가를───나는───,
195-098	그 자리에서 나는───무릎부터 주저앉았다.
195-099	"……"
195-100	"……아까도 말했지만───아직 왼손은 남아 있어.⏎나, 양손잡이는 아니지만……다시 연습하면 금방, 응……"
195-101	"내 인생을 거의 다 썼지만……또 배울 수 있어, 응?"
195-102	"리, 린……"
195-103	"울지 마, 아야메. 애초에 현실을 버릴 각오는 돼 있었으니까.⏎그렇게 생각하면, 응? 그러니까 신경 쓰지 마. 아하하……하하……응…….⏎그러니까 그만둬. 그만둬"
195-104	"게다가 내 다리 얘기로 그런 말 해 놓고, 이제 와서 놀라지 마"
195-105	"……이건 비극이 아니야.⏎정말 사소한 일이야"
195-106	……
195-107	린은 움직이지 않게 된 오른팔을 무릎 위에 다시 올리고,⏎아직 움직이는 왼팔을, 왼쪽 팔걸이에 올렸다.
195-108	손가락이, 조작 레버에 놓인 손가락이, 떨려서……,
195-109	나는 아무 말도 못 한 채, 멍하니 보고 있을 뿐이고───,
195-110	그대로 린은, 떠나갔다.⏎눈물을 흘리는, 나를 남겨 두고.
195-111	꿈은 이제, 끊겼다.
195-112	사랑은, 사라졌다.
195-113	……그러니 이 우정은…… 끝날 수밖에 없다.
195-114	내가 그런 짓을 했으니까.
195-115	……내가, 그런 짓을 했으니까.
195-116	내 탓이다.
195-117	내가, 그림을, 린의 오른손을 망가뜨린 거다.
195-118	───
195-119	……
195-120	……
195-121	……
195-122	원래대로 돌아올까?
195-123	돌아와야만 해.
195-124	내가 원래대로 되돌릴 수 있을까?
195-125	펠이라면, ……펠이라면……!?
195-126	뭘 할 수 있는데!?
195-127	내가, 어떻게든───,
195-128	안 돼……!
195-129	"……"
195-130	"안녕, 아야메"
195-131	"……얘기, 좀 할까"
