# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
002-001	"……끄응."
002-065	"그럼 오늘 안에 학교 직원에게 연락해 자세한 걸 확인해라.⏎조회할 이름은 프레이야 터너. ID 번호는 3EAD6178A24.⏎너는 날 믿어야 한다."
002-066	……? 뭐라고???
002-067	"자, 여기 적어 뒀다.⏎내 사진은 필요 없어. 어차피 학교 쪽은 내 얼굴도 모르니까."
002-068	여자가 종이를 한 장 더 꺼내더니, 구기적구기적 뭉치기 시작한다.⏎그러고는 그걸 엄지에 얹고, 가운뎃손가락으로 튕기───아니 잠깐.
002-069	───아야! 저 인간, 이마에 맞았어! 자국 안 남았겠지!?⏎젠장, 자기보다 어린 여자애한테 할 짓은 아니잖아!
002-070	"방과 후에 다시 만나자.⏎갈 곳은 학교 직원이 알려 줄 거다. 일찍 와라."
002-071	아 진짜, 파운데이션도 좀 번졌겠네……
002-072	───응? 잠깐, 야! 저 인간 벌써 저기까지!
002-073	"하수구에라도 빠져 버려!"
002-074	젠장, 가 버렸네…….
002-075	……
002-076	저 인간, 진심인가? 그때 목줄도……⏎적어도 거짓말은 아니었어. 6만이라니……진짜로?⏎난 빚도 없는데, 그럼……어……?
002-077	구겨진 종이를 펼친다───저 인간 말대로, 종이엔 자세한 내용이 있었다.⏎그럼 진짜라는 건가……?
002-078	……아니……설마……
002-079	……이거, 몸 팔아서 돈 벌라는 그런 내용은 아니겠지? 그래도───
002-080	에이, 설마! 그럴 리가 있나.
002-081	정부가 낀 일이라잖아.⏎우리 학교가 썩긴 했어도 학생한테 몸 팔게 할 정도는 아니겠지.⏎누군가 나한테 허튼수작 부리면 그 자리에서 족쳐 버리면 되고…….
002-082	6만……그건 거짓말이 아니었어…….
002-083	……일단 해 보자, 아이리스. 적어도 한 번쯤은.⏎모두를 위해서 돈 벌 기회잖아…….
002-084	───그래, 별거 아니야. ……일어나서 얼른 학교나 가자.
