# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
060-001	"잘 들어, 똑똑히!"
060-067	다시 한 번, 아리아를 올려다본다.
060-068	나는 일어나고……
060-069	구르듯이 앞으로 나아가……그대로, 아리아의 품에 안긴다.
060-070	다시는 놓지 않을 만큼 끌어안는다.⏎꽉, 꽉.⏎그러자 아리아도 똑같이 해 줬다.
060-071	그렇게 오랜 시간 상처를 줬는데, 그래도…….
060-072	그런 자격……나에게는 없는데…….
060-073	"……이제 그런 식으로 생각하는 거 그만둬."
060-074	어……
060-075	아리아의 몸이 떨리기 시작하고, 얼굴이 뜨거워진다.
060-076	"자격 같은 건 필요 없어.⏎그냥 함께 있어 줘.……예전에 나한테 약속해 줬던 것처럼."
060-077	"……"
060-078	……너무 다정해, 너는.
060-079	끌어안은 채로, 나는 울었다.……둘이서 울었다.
060-080	……알았어. 자격이 없다고 생각하는 건……이제 그만이야.
060-081	네가 괜찮다고 나에게 말해 줬으니까……
060-082	한 번은 버리고 떠나 버린 나에게.
060-083	그냥 그뿐인 거야.⏎뭐랄까……
060-084	잃어버려도, 두 번 다시 돌아오지 않는 건 아니구나.
060-085	떠오르는 아침 해에 비춰지며,⏎나는 아리아를, 아리아는 나를 끌어안는다.
060-086	……조용히, 그러나 함께.
