# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
216-001	뺨을 손바닥으로 얻어맞는, 나.
216-025	왜냐면 이 나라와, 학교에 오기 위한 비용,⏎삼시 세끼 식비도, 지불하고 있는 건 내가 아니야.
216-026	비바람을 피할 이 집을 준비한 것도, 내가 아니야.⏎이쪽 세계에 온 것도, 혼자 힘은 아니야.
216-027	나는, 어느 하나도 갚지 못하고 있다. 주지도 못하고 있다.
216-028	……한 번, 찬찬히 생각해 볼 필요가 있다.
216-029	정말로 한 번, 생각───,
216-030	"스토리"
216-031	부드럽게 머리에 닿는, 누군가의 손. 맴돌던 사고가 멈춘다.⏎올려다보니 손목이 보이고……토우코의 손이었다.
216-032	보니 그녀는, 어느새 앞자리에서 일어나,⏎내 옆에 서 있었다.
216-033	그러고 보니 자는 동안, 토우코는 지켜봐 준 걸까?⏎……또 학교에서 졸아 버리다니, 불찰도 정도가 있다.
216-034	……어떻게든 말을 되돌리려 하기 전에,⏎토우코는 나를 끌어당겨, 안아 주었다.
216-035	……
216-036	나도, 다시 끌어안는다.
216-037	……
216-038	느낀다……고동과, 등에 얹힌 손의 온기를.
216-039	……꼭, 더 강하게 토우코를 다시 끌어안았다.
216-040	……잠시 후, 우리는 천천히 몸을 떼었다.
216-041	"……뭔가 있으면, 언제든 말해 줘?"
216-042	그렇게 말하며 또, 머리를 쓰다듬어 주고……,
216-043	그저, 고개를 끄덕였다.
216-044	그리고 방긋 미소 지으며……,
216-045	토우코는 떠나갔다.
216-046	……으으, 싫은 느낌이다.⏎왠지……굉장히 무방비한 느낌이 든다.
216-047	가자……어서 향하자, 'AARC' 미팅에…….
216-048	……
216-049	물론 평소보다 이동에 시간이 걸렸다.⏎아니, 크게 지각했다.
216-050	……
216-051	방 안쪽에 있는 책상에 붙어 있는 채, 프레이야는 내게 눈을 맞춰 왔다.
216-052	"너희들, 스토리가 왔다"
216-053	일부러 안내까지 해 주시다니.
216-054	"아아, 왔구나"
216-055	온 건 좋은데……,
216-056	내가 없는 동안 뭐가 어떻게 진행됐는지.
216-057	"이 네 명은, 세이코 미술학원에 갈 계획을 세우고 있었다.⏎네가 몇 분만 늦었어도, 두고 갔을 거다"
216-058	"그런 식으로 말 안 해도……연락도 안 닿았고,⏎더는 못 기다렸을 뿐입니다. 그 학교, 꽤 멀기도 하고"
216-059	세이코, 미술……,
216-060	아아. 그렇구나. 그러고 보니……예술원 얘기 했었지……,
216-061	며칠 전, 메이와 니아가 꺼낸 얘기다.⏎그 뒤로, 펠이 캠퍼스에 초대해 줬던 모양이다.⏎그녀의 친구가 다니고 있다나 뭐라나.
216-062	펠과 학교에서 만나서, 입후보한 학생에 대해 듣기로 했었지……,
216-063	이거라면……프레이야의 규칙을 순순히 해석했을 경우의 속박을,⏎어느 정도 피할 수도 있을 거다.
216-064	프레이야의 지정은 '아마치 시 안에 있는 고등학교'의 후보자이고,⏎그게 '우리 다니는 학교 중 하나'일 필요는 없다.⏎전 과제를 생각하면, 거기서 걸려도 이상하지 않았다.
216-065	아무도 거기 학생은 아니지만, 세이코 미술학원에 흥미로운 후보가 있어서,⏎그 사람에 대해 자세히 알고 싶다고 말했던 거였다.
216-066	그리고 그래! 그뿐만이 아니다───펠을 낀 이번 대면은,⏎상대의 환경, 즉 학교 자체를 알 좋은 기회도 될 것 같았다.
216-067	"묻는 걸 깜빡했는데, 스토리는 세이코에 가 본 적 있어?"
216-068	아니요, 라고 고개를 젓는다.
216-069	"그럼, 메이와 나뿐이네"
216-070	"지금도 절반은 입학 안 한 걸 후회해"
216-071	"정말 무지무지 좋은 캠퍼스야!"
216-072	"학원보다 훨씬 안 꺼칠꺼칠하니까.⏎뭐, 미술학교치고는, 이지만"
216-073	"응, 뭐라고……?"
216-074	흠……,
216-075	"아─, 으─……! 갈까요?"
216-076	그래요, 그럽시다.
216-077	"좋아. 그럼, 프레이야"
216-078	"뒤를 조심해라"
216-079	"그거 협박이야……?"
216-080	"지극히 평범한 경고다"
216-081	"흥"
216-082	"항상 경고라든가 절대 안 하잖아. 평범하지 않다고"
216-083	"극히 일반적이고 평범하다. 너희를 아껴 줄 입장이기도 하고"
216-084	"우웩……! 갑자기 다정하게 굴지 마……!"
216-085	"여기까지 너랑 친해도 되는 건가……? 아이리스"
216-086	"야, 너희 서둘러! 이 녀석이 기세 타면 큰일이야!"
216-087	"네네─……"
216-088	서로 미소 짓는 대화를 신호로……,
216-089	일어나 다 같이 방을 나섰다.
