# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
205-001	"좋아……이번엔 뭘 읽을까……?"
205-032	"권장: 경과 관찰……그리고 으음,⏎그다음은 숫자와 통계가 주르륵 나열돼 있어. 읽어도 알 것 같지 않아"
205-033	다른 페이지를 편다.
205-034	"산 그리말도, 10150년 1월.⏎녀석은 죽고, 우리 손은 또 젖었다───으으으, 또 암살 얘기야아……"
205-035	정말로, 많이 있구나. 흐릿하게 적혀 있지만……,
205-036	스토리 씨가 있으면 좋을 텐데. 이런 걸 읽는 건 싫어.
205-037	가끔 가이드 씨도 도와준다. 내가 떠올린 글자는,⏎사라지지 않고 한동안 종이에 남는다. 그 사이 책째 건네주면 읽힌다.
205-038	다만, 지금까지 발견한 건,⏎전부……기록이라든가 계획이라든가, 그런 것뿐.
205-039	나머지는, 음모라든가고…….
205-040	정말로 여기는, 바깥 세계의 '거울'이라는 게 느껴진다.⏎다만 뭐……등을 돌리면 멋대로 거울상이 움직이는 타입의 거울이겠지.
205-041	'동조'와 '공명'에 관한 얘기는, 내가 읽어도 재밌다.⏎문장에 몇 번이나 등장하고…….
205-042	다만, 무슨 얘기인지는 정말로 알아보기 어렵다.⏎책자를 하나, 끝까지 읽어 봤지만, 휘갈겨 쓴 건 의미 불명.⏎단어, 색, 단어, 색. 계속 그 반복. 영문을 모르겠다.
205-043	내 가이드 씨가 말하기를……확실히 이틀 전이었나───,⏎이미 나는, 닷새쯤 이렇게 조사를 하고 있다고 한다.
205-044	딱히 괜찮다고는 생각한다……재회했을 때 들은 대로,⏎여기서 나오는 데 '무아지경' 비슷한 정신 상태가 필요하다면,⏎책을 마구 읽는 게 탈출로 이어질지도 모르고.
205-045	그렇긴 해도……,
205-046	(기가 꺾이는 내용이었어) 책을 덮고, 어떤 새까만 복도에 눈을 돌렸다.⏎불길한 문틀 탓인지, 더욱 음산해 보인다.
205-047	저 복도는……어디에나 있는 그런 게 아니다.
205-048	'뒤의 거리'에 존재하는, 무엇보다도 어두운 장소다.
205-049	언제 봐도 어두운 그림자가 기어 나오는, 변함없는 곳이다. 그리고……,
205-050	……나조차 지나갈 수 없는 곳이다.
205-051	그보다……솔직히 굉장히 무섭다.
205-052	전에 둘이서 나아가려 했더니, 마치 괴물처럼 입을 벌려,⏎나와 남자애를 삼키려 했다.⏎여긴, 더 본격적인 수비가 사방에 펼쳐져 있는 모양이다.
205-053	'이 안쪽에는 정상적이지 않은 비밀이 있다'고, 둘 다 직감했다.
205-054	그런데 우리는 이, 메인 에어리어?에 머무는 수밖에 없을 것 같았다.
205-055	의자에 앉은 채 자세를 바꿔 본다.
205-056	그나저나, 이상한 조직……,
205-057	몇몇 문서에는, 상당히 예전부터 활동해 온 듯하다는 게 적혀 있었다.⏎……육백 년이었나? 천 년 넘는 역사가 있어도 이상할 것 없는……,
205-058	그런데……도무지 모르겠는 게───,
205-059	───이 은신처다.⏎대체 무엇을 위해 있는 건지, 그리고 이 거리도 뭔지……,
205-060	나는 결국, 여기서 뭘 하고 있는 걸까……,
205-061	메이에게 폐 끼치지 않았으면 좋겠어…… 정말로 그렇게 생각해.
205-062	저 남자애에게 부탁해서 모두를 찾아 주고,⏎내가 괜찮다고 전해 줄 수는 없을까.
205-063	너무 안이한 생각일까? 어떨까.
205-064	응, 오늘도 슬슬 그가 모습을 보일 때가 된 것 같은데…….
205-065	책상에서 다른 책을 집는다.⏎이번엔……오, 다이브에 관한 고찰을 모아 놓은 것 같네.
205-066	이런 쪽은 다 재밌구나.
205-067	책을 들고 읽는 데 빠져든다, 빠져든다…….
