# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
180-001	……드디어 끝났다.
180-067	"우리가 하늘이라 부르는 것은───천국이야"
180-068	"영혼은 거기 머무를 수 있고, 사고나 감정은 영원히 남아"
180-069	"그리고 그 안에서는 생각한 것이 현실이 돼"
180-070	"……"
180-071	"……그게 '심상 풍경'?"
180-072	"그래"
180-073	……
180-074	에이브는……,
180-075	우리한테 뭘 바라는 거야?
180-076	"……자퇴 같은 거 하지 마, 레인"
180-077	"걱정 마!"
180-078	"분명 또 만날 수 있을 거야, 헬비"
180-079	"……"
180-080	"……레인이 말한 것처럼,⏎나는 아직, 세계에 구할 가치가 있다고 생각해"
180-081	"'낙원'까지는 못 될지 몰라도……"
180-082	"하지만 나는 도망치지 않아.⏎여기서 발을 붙이고, 흙투성이로 바꿔 나갈 거야"
180-083	"……"
180-084	"그럼 우리는 언젠가 내려다봐 줄게.⏎───지면을 기어 다니는 너를, 위에서 말이지"
180-085	그렇게 말하고 레인은 한 걸음 뒤로 물러나더니……
180-086	한 걸음, 또 한 걸음……
180-087	그대로 숲으로 모습을 감췄다.⏎작별 인사로 손을 흔들지도 않았다.
180-088	"……"
180-089	"……"
180-090	세계…… 말이지?
180-091	……
180-092	시선을 내려 떨리는 손과 손가락을 본다.
180-093	……역시 결국은 '끝' 얘기가 되는구나.
