# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
213-001	다이브는……안 됐다.
213-077	"니아는, '마인드스케이프'에서 찾을 수 있을 것 같아?"
213-078	"무리. 몇 번을 들어가도, 나밖에 안 보이고……"
213-079	"탐색하려 해도,⏎니아가 빠져든 비밀 루트 따윈 모르니까"
213-080	"으음─, 걔는 처음에,⏎뭔가 특정한 방법으로 거기 들어갔던 거 아니었나?"
213-081	"그랬나? 진짜로 기억이 안 나……"
213-082	"음 뭐였더라───"
213-083	"잠깐만, 아이리스. 이것만은 말하게 해 줘"
213-084	"메이. 니아를 돕고 싶은 마음은 알아.⏎그런데 이번엔, 본인에게 맡기는 게 낫지 않을까?⏎한 번 자력으로 탈출도 했잖아? 그럼 또, 스스로 나올 수 있을 거야"
213-085	"여기서 메이까지 잃으면, 정말로 속수무책이야.⏎구조의 철칙은, 구조를 위해 희생을 내지 않는 것"
213-086	"소방관이 구조할 때마다 자기희생 상등, 그런 느낌이라면,⏎세상 소방대는 항상 괴멸 상태잖아……"
213-087	"그 '뒤의 거리'라는 녀석, 듣고만 있어도 성질 나쁜 함정 같고.⏎남은 우리에게, 잘 찾아낼 만큼 다이브 실력이 있다고도 생각 안 들고"
213-088	……뭐, 아야메 주장은 맞다. 알고 있다. 나도 같은 생각이니까.
213-089	그래도 이번처럼 마법이나 다름없는 힘이 개입된 상황이라면,⏎더 넓은 시야로 생각해야 하지 않을까?
213-090	이 상황이야말로, 리스크를 짊어져야 하는 걸지도 모르고……,
213-091	"적어도 리스크를 질 거면 츠루와 만난 뒤에 해 줘……"
213-092	……
213-093	"있잖아 니아, 거기서 두 번 점프"
213-094	"잠깐 그만둬, 그런 거 없───!⏎니아 갖고 놀리지 마……기분 나빠지니까"
213-095	"미안미안"
213-096	하아……,
213-097	도대체, 오늘은 뭘 의논하는 건지…….
213-098	그리고 교사라면……하우스는 그 뒤로 일절 우리에게 얽혀들지 않는다.⏎───라기보다, 사비에르 해체 뒷수습과 학교 재편으로 정신없는 거겠지.⏎전처럼 우리를 캐물을 여유는 없는 걸지도.
213-099	……솔직히 그 사람이 오히려 잘 지내고 있으면 좋겠다고까지 생각한다.
213-100	…….
