# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
049-001	이걸로 다 썼나…….
049-038	그 목덜미의 바인드를 본다……. ……반응은 없다.⏎1초, 10초…… 꿈쩍도 하지 않는다.
049-039	또다. ……이 사람의 말은 거짓 없는 진심인 거다.
049-040	……아무도 아무 말도 하지 않는다.⏎침묵한 우리를 보고 프레이야 선생님은 자기 목을 가리켰다.
049-041	"자, 봐라───내 발언은 또 진실이다. 그렇게 어려운 일도 아니지."
049-042	"……너희는 멍청하게 살아가려고 여기 모인 게 아니다."
049-043	"활동에 불참한다고 벌하지는 않는다."
049-044	"……좋다. 다만 다음에 사실 여부를 물었을 때⏎그 목덜미에 또 같은 무늬가 뜬다면……"
049-045	"───그때는 그에 걸맞은 처분을 내린다."
049-046	"시험해 볼 생각은 마라, 아이리스."
049-047	"내가 너를 어디까지 아는지───이제 짐작은 가겠지."
049-048	……뭔가 또 협박하는 건가?
049-049	선생님은 다시 방 안을 돌며 우리에게서 쓴 종이를 회수하고⏎구겨서 버리고는 새 종이를 건네준다.
049-050	문득 선생님이 멈춰 선다. 스토리 씨 자리였다.⏎종이를 건네기 전에……그 눈을 가만히 들여다봤다.
049-051	"……너에 대해서도 충분히 알고 있다.⏎내용이 거짓인지 바로 알 수 있을 정도로 말이지.⏎평온하게 지내고 싶다면 적어도 정직하게 굴길 권하지."
049-052	"……"
049-053	스토리 씨가 받아들고……이렇게 해서 전원에게 새 종이가 돌아갔다.
049-054	책상으로 걸어가며 선생님이 다시 입을 열었다.
049-055	"충고해 두지. 이후 아이스브레이커에서 정직하게 안 나오면⏎앞으로 전원의 인생은 꽤 비참해질 거다. 목적이 무엇이든 마찬가지다.⏎지옥을 볼 거다, 하나도 빠짐없이. 내가 확실히 비참하게 만들 테니까."
049-056	"그게 싫으면 해라."
049-057	으윽, 이 사람은 진짜…….
049-058	……
049-059	아니……딱히 처음에도 거짓말을 쓴 건 아니고…….
049-060	"그럼 전원 쓰기 시작해라.⏎30───, 29───, 28───…"
049-061	힉───!!
049-062	허둥지둥 또 비밀을 적어 간다.⏎……이번에도 눈에 들어오지 않게 하면서.
049-063	……그리고 카운트가 끝났을 때⏎프레이야 선생님은……만족스럽게 웃고 있어서……으, 와아…….
049-064	선생님은 우리 자리를 돌며 각자의 종이를 회수해 간다.⏎손에 든 종이를 섞으면서.⏎……이러면 누구 비밀인지는 모르려나.
049-065	……물론 자기가 쓴 것만 빼고.
049-066	섞기를 마치고 프레이야 선생님이 다시 한 명씩 물어본다.⏎진실이냐는 물음에 스토리 씨 말고는 솔직하게 '네'라고 답했다.⏎(스토리 씨는 끄덕임으로만 답했지만)
049-067	……이런 건 정말…….
049-068	……
049-069	……이제 정말 싫다.
049-070	"좋다. 그럼 전원 가까이 모여라. 이제부터 한 장씩 건네겠다.⏎내용을 읽으면 왼쪽으로 넘겨라. 지금은 그것만 하면 된다."
049-071	으으, '지금은'이라니. 싫다…….
049-072	다 같이 모여 방 한가운데 있는 소파 두 개에 앉았다.
049-073	그러자 선생님이 종이를 한 장씩 건네준다.
049-074	"읽기 시작해라."
049-075	……
049-076	그러니까 이건…….
049-077	아. 으악, 이거 내 거다…….⏎어쩔 수 없다, 티 안 나게 읽어 두자…….
049-078	다 읽고 왼쪽 메이 씨에게 넘겼다.
049-079	그 사이 스토리 씨에게서 건네받는다.⏎접힌 종이를 펼치니…….
049-080	'부모님을 진심으로 싫어하는지도 모른다'
049-081	……
049-082	누, 누구 거야……이거……?
049-083	……다음, 다음 건…….
049-084	'내가 싫다'
049-085	……그러니까.
049-086	'가장 친한 친구를 배신했다'
049-087	'부모님이 나를 버렸다는 것'
049-088	……그러고는 다시 내게 돌아왔다.
049-089	방 안 공기는……최악이다.
049-090	선생님이 척척 종이를 회수해 간다.
049-091	"이런, '분위기를 데우려' 했더니 더 싸늘해졌군."
049-092	어쩜…….
049-093	어쩜 이렇게 심할까…….
049-094	"그럼 이건 어떤가. 내가 방금 회수한 이것들을 소리 내어 읽고⏎누구의 비밀인지 너희가 맞히는 거다."
049-095	!?
049-096	"그럼 바로 시작하지.⏎우선은……'내가 싫다'. ───자, 누구지?"
049-097	……!!!? 제정신이 아니잖아!!!
049-098	"그만두세요, 거기까지입니다."
049-099	어, 방금 그건……?
049-100	이 목소리, 지금 서 있는 사람은…….
049-101	───스, 스토리 씨?! 말을 못 하는 거 아니었어……?!
049-102	"당신, 몇 살인가요? 어른이잖아요.⏎그럼 이 사회에서 비밀이 얼마나 무거운지 모를 리가 없습니다."
049-103	"그런데도 까발리라고요? 협박까지 해 가며?"
049-104	"터무니없이 몰상식한 짓입니다.⏎비밀을 누가 썼는지 같은 건 모릅니다. 알고 싶지도 않습니다."
049-105	"게다가 털어놓고 싶다면 본인이 그렇게 할 겁니다!"
049-106	"우리를 구실 삼아 저 사람을 욕보이지 마세요!"
049-107	……
049-108	……그, 그래.
049-109	맞는 말이야!
049-110	"이게 '욕보이는' 거라고?⏎애초에 내가 행동을 강요해선 안 될 이유가 뭐지?"
049-111	"……당신이 그렇게 나온다면 이쪽에도 생각이 있습니다."
049-112	"제가 할 수 있는 모든 걸 다해 그 인생을 비참하게 만들겠습니다.⏎'프레이야 터너'……애초에 본명이긴 한가요?"
049-113	어, 스토리 씨 대단……어? 본명이라니 무슨……?
049-114	"……"
049-115	"……너, 꽤나 건방진 소리를 하는군?⏎세상의 말 없는 사람들은 대개 입을 다무는 법인데."
049-116	"……당신은───!"
049-117	"조용히 하고 싶다면 입을 다무는 게 좋겠군."
049-118	"───다만 이 자리에선 그럴 수도 없지. 당장은.⏎……오늘은 '너희'의 활동도 여기서 접을 때가 됐군."
049-119	이, 이걸로 끝? 이런 식으로?
049-120	스토리 씨 덕분……이란 뜻일까.
049-121	"일은 끝나지 않았다, 아직이야."
049-122	앗, 어.
049-123	"일단은 밖으로 나가 마음대로 돌아다녀라."
049-124	"다만 해산은 하지 마라. 쓸쓸하잖나, 이제 막 알게 된 사이인데."
049-125	그렇게 말하며 프레이야 선생님은 등을 돌려⏎코트 안주머니에서 작은 책을 꺼내더니⏎회의실 안쪽 의자로 가서 조용히 앉는다.
049-126	……그대로 물 흐르듯 문고본을 읽기 시작했다.
049-127	"───그럼 이제 가라. 구경거리가 아니다.⏎때가 되면 내가 찾아내겠다."
049-128	가장 먼저 일어선 건 아이리스 씨였다.
049-129	눈길도 주지 않고 프레이야 선생님 옆을 지나쳐 간다.⏎그렇게 다들, 나도 포함해서 회의실을 떠나간다.
049-130	잠시 휴식이라는 뜻일까……?
049-131	그렇게 밖으로……아마치 거리로 나섰다.⏎씁쓸한 마음은 여전히 가시지 않은 채.
