# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
079-001	스케치하는 중인데……,
079-064	…아
079-065	아?
079-066	일단 저희는 악의를 갖고 찾아가는 게 아니고⏎그 학교에 다니는 친구도 있어요.
079-067	둘 다 틀림없는 사실이에요.⏎아닌가요?
079-068	그걸 전하기만 하면 되는 거예요.⏎방과 후라면 일단 쉽게 들어갈 수 있을 거예요.
079-069	반대로 수업 중이었다면……,⏎꽤 귀찮았겠죠.
079-070	……스토리, 얘기가 빠르네.⏎분명 나랑 같은 생각을 하고 있었던 거야…….
079-071	거짓말이 금지된⏎이 코에부스 카일에서는 진실이 엄청난 힘을 가진다.⏎……그야말로 '아주 약간의 진실'만으로도 여러 가지가 가능해질 만큼.
079-072	니아는 순진하니까 이해하는 데 좀 걸릴지도 모르지만……,⏎그 애는 학술 교류 말고는 다른 학교에 들어가는 것조차 무서워하고…….
079-073	근데, 분명 잘될 거야!
079-074	바로 그거야!⏎어때? 다 같이⏎아리아 로셰 씨 만나러 가는 거!
079-075	분명 목공 수업이라든가⏎메카닉부 같은 데 가면 만날 수 있을 거야!
079-076	전문 과정이 있는 건⏎아마치 시에서 벡고뿐이니까!
079-077	전문 과정이요?
079-078	특정 직업을 위한 능력 육성 커리큘럼을 말하는 거야⏎이 경우엔 엔지니어과려나⏎차나 기계 정비, 수리하는 법이라든가 그런 거
079-079	바로 그거야! 그러니까……일단 해 보는 거야!⏎실패해도 아프지도 가렵지도 않잖아?
079-080	아프다면 아이리스 마음이려나
079-081	으윽……,
079-082	근데…….
079-083	괜찮아, 분명 이해해 줄 거야!⏎봐, 화해하는 것도 도와줄 수⏎있을지도 모르잖아!
079-084	프레이야가 고치라고 한 건⏎아이리스의 심리 문제가 아니잖아⏎할 거면 나는 빼고 해
079-085	그러지 말고, 같이 해요 메이!
079-086	안 할래.⏎그 애한테 협력 부탁하는 것까진 도와줄게⏎그 이상은 사양이야
079-087	으으, 알겠습니다…….
079-088	그럼 목요일 방과 후에 가자⏎그때쯤이면 분명⏎아이리스도 경계 안 하고 있을 테니까
079-089	나중에 각자한테 따로 전해 둘까⏎목요일 방과 후엔 일이 있다고
079-090	근데 주의!⏎메시지 타이밍은 제각각으로 할 것
079-091	다들 한꺼번에⏎그날 방과 후는 안 된다고 말하면
079-092	아이리스한테 들켜서⏎못 만나게 될 테니까
079-093	차라리 넷 중 둘은 아무 말 없이⏎목요일에 안 오기만 해도 될지도?
079-094	혹시나 그 부분은 프레이야 도움을 빌릴 수 있을지도 모르고……,
079-095	묘하게 손에 익었네
079-096	가끔 필요하거든, 이런 거⏎서프라이즈 생일 파티 할 때 같은 거
079-097	진짜라니까!
079-098	나쁘지 않은 계획이에요⏎점점 신나는데요
079-099	'신나는데'……?
079-100	텐션 업이라는 거예요
079-101	그만해
079-102	ㅋㅋ
079-103	그럼 이따 봐⏎따로따로 얘기할게!
079-104	잘 자, 다들!
079-105	안녕히 주무세요!
079-106	잘 자
079-107	안녕히 주무세요
079-108	다행이다……!
079-109	그 김에 완전히 잊어버렸다.⏎아까까지 고민했던 건, 완저언히 말이야!
079-110	……
079-111	졸릴 때까지, 애니웨이브에서 메이크업 영상이나 볼까…….
