# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
044-001	"으윽……"
044-051	"나도 놀랐다니까……"
044-052	……아니, 이 애 더듬지 않고 말할 수 있는 거야? 진짜로?⏎대화도 어려운 타입인 줄 알았는데…….
044-053	그래도 진짜 놀랐다.⏎남방이 유행했던 게 벌써 몇십 년 전이고.
044-054	"……"
044-055	"어떤 캐릭터가……좋아?"
044-056	"두 번째 주인공이요!"
044-057	풋, 뭐야 그게. 캐릭터 이름이 아니야?⏎두 번째라고 해서 알아듣는 사람은 보통 없잖아. 진짜.
044-058	뭐, 그래도…….
044-059	"의외네. 나는 첫 번째 주인공이 좋은데."
044-060	"그 애도 좋죠!"
044-061	"친숙해서……"
044-062	……후후.
044-063	"……"
044-064	"……그럼, 옛날 작품도 파고든 거야?"
044-065	"물론 하고 있어요! 잘하진 못하지만…….⏎그래도 역시 명작이에요! 하는 사람이 적을 뿐이고……"
044-066	"그러게."
044-067	"아, 저, 저기……!"
044-068	"저, 그런데, 니아예요! 니, 니아 케나라고……"
044-069	"알아."
044-070	"에에!?"
044-071	"……"
044-072	"거짓말 안 했다고!?"
044-073	……뭐 적어도 지금은, 말이지.⏎나도 그 모임 전까지는 전혀 몰랐지만.⏎이 애도 어차피, 나를 몰랐을 테고.
044-074	"그러고 보니 내 이름을 몰랐던 거 신경 안 써.⏎솔직히 요즘 세상에 그런 걸 신경 쓰는 게 더 어렵고, 드물잖아."
044-075	"자, 가자. 슬슬 가야 하잖아.⏎그보다 남방 14번째 작품은 어때, 재밌어?"
044-076	"와, 아, 네! 그건 저───"
044-077	───벌써 신나 보이는 얼굴이야.⏎확 밝아져서, 불 켜진 것 같아.
044-078	난처한 표정밖에 못 짓는 애인 줄 알았는데……뭐야, 귀엽잖아.
044-079	자, 다음엔 뭘 얘기할까. 좋아하는 외전 제목이라든가, 뭐 그런 거.
044-080	……후, 후후.
044-081	아하하…….
044-082	그럼 더더욱 필요 없어. 내 세금까지 내면서 알고 싶은 건,⏎원의 둘레 구하는 법이나,⏎788년 실천사 때문에 벌어진 일 같은 게 아니야.
