# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
229-001	"아……저건……?"
229-059	……그 진리는, 구하는 것으로도 바꿀 수 없어.
229-060	마디 굵은 마녀의 손가락은,
229-061	순진한 너를, 무지라는 심연으로 초대한다.
229-062	네가 믿는 그 길은, 장밋빛 붉은 길.
229-063	네가 한 번도 보지 않고 딛는, 장미였던 것에 물들어 가는 길이다.
229-064	그 붉음이, 해체되어 미끄러운 피라는 걸, 알지도 못한 채.
229-065	너는 지옥을 향하고 있어, 천국이 아니라.
229-066	더러워진 신들의 입이 열리는 건,
229-067	너에게, 죽음을 불어넣기 위해서야.
229-068	그게, 삶의 민낯. 고통 그 자체.
229-069	그녀와, 나는,
229-070	함께 거기서, 있는 그대로의 삶을 봤던 거다.
229-071	손과 손을 잡고, 둘이서───.
229-072	───토할 듯한 혐오를, 느끼고 있었다.
229-073	"뭐……뭐야───?"
229-074	벌떡 일어난다. 목덜미가 초록으로 물들어 있었다.
229-075	그런데……하필이면, 이 색이라는 게, 마음이 놓이지 않는다.⏎오히려 분명 불안해해야 하는 거겠지…….
229-076	기분을 가라앉히려고, 몸을 일으켰다.
229-077	굉장히……도취감이 강한 꿈이었다.
229-078	일어나서, 컴퓨터에 눈을 돌린다.
229-079	평소대로 SNS를 열고,⏎팔로우한 만화나 웹소설 업데이트를 본다.
229-080	한 손을 얼굴에 댄 채…….
229-081	……날짜를 본다. 이제 월요일이다. 11월 9일.
229-082	즉 그로부터 사흘……,
229-083	다들, 머리가 식었을까……?
229-084	그때의 분위기는……,
229-085	털어놓기 전에, 니아가 기대했던 것과는 달랐을지도.
229-086	우리는, 앞으로 어디로 향하는 걸까?
229-087	……'AARC'에게, 다른 방향으로 키를 꺾게 되는 걸까?
229-088	……
229-089	"……하아……"
229-090	방금의 악몽은……,
229-091	올베르도에서 체포된 날에 꾼 꿈과 꽤 닮아 있었다.⏎저건……,
229-092	그 꿈은, 관련되어 있어. 그렇지?
229-093	'마인드스케이프'에는, 아직……,⏎내 이해가 미치지 못한 부분이 있다는 건 알아.
229-094	하지만 나는 거기서 기억을 봤고……미래도 본 걸지도 몰라.
229-095	아니……몰라가 아니야,⏎봤어…….
229-096	그 이름도……아는 이름이었다.
229-097	그런데, 그건 정말로 '나'인 걸까……?
229-098	그리고 '그녀'……그 애는 뭐지?
229-099	우리가 서 있던 장소도, 사물의 변해 가는 모양도……,
229-100	뭐랄까. 뭐든지, 무척 납득이 갔어.
229-101	동시에, 틀린 느낌도 들었다.⏎혹은, 그렇게 느껴야 했던, 이랄까.
229-102	……
229-103	'천상'……'낙원'……,
229-104	'지옥'……그리고 '인간'…….
229-105	요즘, 어쩐지 예감이 든다……,
229-106	이 나라는 하찮은 존재는,⏎스스로 생각하는 것보다 훨씬, 큰 역할을 짊어지고 있을지도 모른다고.
229-107	실제로는, 나는 티끌보다 무가치한 존재이고,⏎이 세상에 있어선 안 될 인간인데……,
229-108	……그런데도, 자기 영향은 부정할 수 없다.⏎아마……부정할 수 없다고 생각해. 게다가……,
229-109	……'세계를 구하는' 것은 '자신을 구하는' 것과 동의어가 아니다.⏎그건 확실하다……왜냐면 사람은 모두, 언젠가 반드시 죽으니까.
229-110	……그 사인이, 에이브의 손에 의해서든, 단순한 시간 작용이든 간에.
229-111	나는 언젠가, 죽는다. 영원히 이 세상에 있는 게 아니다.
229-112	내가 없어지는 편이……세계는 나아질지도 몰라.
229-113	하지만 우선은 이 '장미의 길' 끝을 꿰뚫어 보자.⏎어쩌면 거기서 저 진실도 뒤집을 수 있을지 몰라.
229-114	누군지는 모르지만……,
229-115	……'당신'이 말한 대로라고 생각하니까.
229-116	밟는 게 꽃잎이든, 피로 물든 길이든…….
229-117	……나는 한 번도 보지 않아. 단순히 관계가 없으니까.
229-118	응, 그 해석은 완전히 맞을 거다.
