# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
174-001	……잠깐. 지금 스토리 씨가……,
174-077	"아아, 끔찍한 광경이야. 매일 밤 그 지옥을 떠올릴 수 있어.⏎그래, 나는 펄스조차 일으킬 수 있어. 마음먹으면 말이지……"
174-078	"거기까지는 안 하겠지만…… 원리는 같아"
174-079	"그렇게 앉아서 울부짖기만 해선……"
174-080	"지상에 폭풍이 내리는 게 오늘일지도 모르지"
174-081	그렇다면…… 이 오두막 밖에서는……,
174-082	많은 사람이 와서, 벽을 두드리고 있는 거야? 미쳐 버린 사람들이……?
174-083	……캠퍼스에 있던 사람들이……,
174-084	나……,
174-085	지금도 믿기지 않아. 펠이 이런 짓을 하다니……,
174-086	어째서 이런 짓을───, 아니야!
174-087	이런 건 그냥 둘 수 없어!
174-088	일어나면서, 필사적으로 말을 짜낸다…… 펠을 설득하려고.
174-089	메이와 아야메 씨를 구하고 싶어서…… 이 장소를 구하고 싶어서.
174-090	"펠…… 들어 줘───"
174-091	"들어 줘, 들어 줘, 들어 줘라니───네가 듣지!"
174-092	"……!"
174-093	"너희는 내가 진실을 몇 번 몇 번 말해야 듣는 거야!?"
174-094	"내 망상이라고 생각해? 머리가 이상하다고 생각해?"
174-095	"이 눈으로, 내가 봐 온 걸 네가 1mm라도 상상해 본 적 있어?⏎생각해! 생각하라고!"
174-096	"알겠지! 내가 미치지 않았다는 것도!"
174-097	"알겠지! 내가 행동하는 이유도!"
174-098	"아아, 그런데도 아직 설득이 필요해……!"
174-099	"그럼 들어! 내 말을, 명령을!"
174-100	"펠……"
174-101	"같은 지옥, 같은 운명 속에 살면서……"
174-102	"무슨 낯으로 나를 멈추려는 거야! 이, 가증스러운……읏,!⏎그게 모든 걸 멸망시키는 길인 줄 알면서, 아직도 무작정 맞서면서!"
174-103	"내가 언제 미쳤냐고?⏎1학년 때부터 아는 남자애가 나를 조여 죽이려 했을 때다"
174-104	"나를 놓아준 뒤, 멈추기 전에 그 손이 나이프를 찾아냈을 때다"
174-105	"어떤 친구가, 다른 친구의 팔을 발견하고, 그 팔에 아직,⏎늘 그렇듯 귀여운 손목 밴드가 붙어 있었을 때다……"
174-106	"소꿉친구 남자애 하나가, 내 눈앞에서 폭발했을 때다!"
174-107	"아아 미쳤어, 나는 미쳤어. 나는 그때 미쳤어!"
174-108	"니……아……"
174-109	"하지만 나는 정신을 되찾았어. 자신에게 타이렀어.⏎'정신 차려, 이스펠테……'라고"
174-110	"실천사는 인생 최악의 경험이 아니야.⏎그건 최악의 고통도 아니고, 최악의 죽음도 아니야"
174-111	"그런데 말이지, 나는 상처 입었어…… 상처 입었단 말이야……"
174-112	"상처 입히는 것…… 진짜 악의"
174-113	"나도 하고 싶지 않아……"
174-114	"하지만 목적을 이루려면 수단이 필요해"
174-115	"……내 인생에서 최고의 시절은 어릴 적이야.⏎그 장소, 저쪽 세계에서 보낸 그 날들……"
174-116	"거기선 어떤 모험도 할 수 있었어…… 마법으로 드래곤도 불렀어.⏎상상이 세계의 본질을 바꾸고…… 느껴졌어, 기뻤어"
174-117	"그건 틀림없이, 현실이었어───이 쓰레기 놈들아"
174-118	메이는 목을 부수려는 아야메 씨에게 필사적으로 저항하고 있었다.
174-119	둘은 시선을 주고받는다…….
174-120	"니아…… 해……"
174-121	나…… 나 혼자서요……?
174-122	"그 시절이, 현실이 아니라고 말하게 놔두지 않아!⏎우리가 느끼고, 보고, 만지고, 맛본 것의 일체를───,⏎───전부 '무가치'하다니, 말하게 놔두지 않아!"
174-123	"그 시절이 다시 이뤄질 수 없다든가, 영원히 누구도 이룰 수 없다든가!⏎그런 나날이 무의미하다든가, 죽음은 극복할 수 없다든가!"
174-124	"'육체'로 겪은 경험이 아니니까?……웃기지 마! 쯧."
174-125	펠이 바닥에 침을 뱉는다……,⏎피처럼 붉은 빛이 쏟아지는 가운데, 그녀에게 시선을 되돌린다.
174-126	지금의 펠을 보고 있으면……,
174-127	그녀가 스스로 악마라 부르는 심정을, 알 것 같았다.
174-128	……
174-129	그리고 내가, 맞서는 거야…… 지금 여기서, 무슨 수를 써서든.
174-130	"나는 모두에게 주고 싶어! 그게 누구든!⏎태어난 곳이 어디든! 나는 모두에게 건네주고 싶어!!"
174-131	"펠……"
174-132	"그런데도 너는 아직 이해해 주지 않는 거야……!"
174-133	"펠!!"
174-134	"너는 몰라! 아무것도! 내가 보는 걸 넌 알 수 없어!"
174-135	"모든 걸 넘어서 나는 도달했어.⏎아득히 먼 별까지 이 의식을 넓혀서"
174-136	"눈앞의 저편을 보고───,⏎앞으로 앞으로 나선을 그리며 정신을 뻗어,⏎저 먼 환영을 향해 보낸 끝에, 나는 환영의 숨결을 느꼈어!"
174-137	"알겠나……!?"
174-138	"나는 모든 걸 넘어서 목격했어!"
174-139	"우주의 끝에서 눈이 멀어질 때, 수백억 세계의 빛이 눈을 가득 채웠어.⏎그리고 나는 이 눈으로 봤어!───'신'을 봤어!"
174-140	……
174-141	일어나지 못해도 돼…… 여기가 아니어도 돼.
174-142	저 장소가, 네가 지배하는 세계라면……,
174-143	거기서 너를 멈춰 보이겠어.
174-144	나는, 펠과 똑바로 눈을 맞추고……,
174-145	그녀의 마음속으로 다이브했다.
174-146	"후우…… 하아……"
174-147	"……"
174-148	"……흡……"
174-149	"……히어로의 등장인가.⏎네가 되고 싶어 안달하는 그 존재다.⏎꽤 반항적인 눈이군."
174-150	"그 눈이 노려보는 방향이 틀리지 않았다면 말이지…… 하지만───,⏎위를 노려본다 해도 그 생각으로는, 그다지 달라지지 않을 거야"
174-151	"그 사고방식과, 할 수 있는 것 전부를 감안하면,⏎너는 사라지는 게 낫겠다는 생각이 들었어───니아 케나.⏎정말 무례한 녀석들이야……한꺼번에 어둠에 쓸어 담기엔 딱 좋아"
174-152	……
174-153	아까까지 있던 통증은 사라졌다……,
174-154	'육체'라는 껍데기에서 자유로워진 나는, 일어나 펠과 마주 선다.
174-155	"……니아……"
174-156	……
174-157	"……조심하는 게 좋아, 아가씨. 다시 한 번 해 볼까───니아?"
174-158	"무슨 말씀이세요?"
174-159	"지금까지 네가 다이브해 온 그들과, 같은 규칙으로 할 거라고 생각해?⏎이 내가?이 시점에 와서?"
174-160	"이게…… 의지의 충돌이 될 거라고 생각해?⏎혹은, '의미 있는 연결'이라도 될 거라고?"
174-161	"설령 그렇다 해도,⏎나한테 맞설 수 있다고 진심으로 생각하는 거야? 그 마음의 힘만으로?"
174-162	……
174-163	헬비 씨에게…… 키츠……,
174-164	그리고 너.
174-165	전에도 들었지만, 새삼 떠올랐다.
174-166	내 다이브는 평범하지 않아…… 그리고……,⏎펠은 아마, 그걸 두려워하는 거겠지.
174-167	치트 같은 것일지도 모르고,⏎과한 힘일지도 모르지만…….
174-168	아무튼 우리가 손에 넣은 힘이다.
174-169	그리고 그건 너에게는 없는 것……이지, 펠?
174-170	"……"
174-171	"……정말 연기 잘하시네요, 펠.⏎틀림없이 그쪽은, 나보다 능숙해요"
174-172	"하지만 당신이 우리에게 집착하는 이유는 알고 있어요.⏎우리를 내버려 둘 수 없는 이유도, 잘 알고 있어요"
174-173	"우리의 다이브는, '올바르지' 않죠?⏎그러니까 우리는, 당신이 이해할 수 없는 방법으로 다이브할 수 있죠……"
174-174	"아아, 그래───그 말이 맞아. 너희 다섯 모두, 반칙을 하고 있어"
174-175	……
174-176	나는 움찔하고, 말이 막힌다.
174-177	예……예상 밖의 반응……,
174-178	내가 알고 있어도 놀라지 않는 거야?⏎헬……헬비 씨나 키츠의 반응을 생각하면, 틀림없이───,
174-179	"아아, 착각하지 마. 너희 모두, 굉장히 위험해"
174-180	"뭘 하는지도 모르면서, 너무나 많은 걸 할 수 있어.⏎총을 쥐고 있으면서, 무슨 무기인지도 모르는 것과 같아"
174-181	"너희는 위험해.⏎내 계획뿐만 아니라, 너희 자신과, 주위 사람들에게까지도"
174-182	"정말 너희는 살아 있는 폭탄 같은 거야,⏎미지의 자극으로 폭발하니까───과장도 뭣도 아니야"
174-183	"무엇보다 너는, 이미 비유적으로 한 번이 아니라,⏎총탄을 스스로에게 쏘고 있어. 아야메도 마찬가지야.⏎화가인 린의 소중한 팔에 한 발, 쏴 버렸으니까"
174-184	……?
174-185	에……린 씨? 무슨 일?
174-186	……린 씨에게 무슨 일이 있었던 거야?⏎펠……펠이 아까 뭔가 말했지만…….⏎하지만 그 정도는───,
174-187	"아아, 대화가 부족했나 보네.⏎스포일러해 버렸네. 진심으로 사과할게. 미안!"
174-188	"아무튼 나중에 아야메한테 물어보면 돼……"
174-189	"자…… 덤벼 보시지, 니아"
174-190	펠이 양손을 크게 벌린다.
174-191	"진심으로 덤벼 보라는 거야. 자, 나는 여기 있다"
174-192	나……,
174-193	내게는…… 다른 수가 없어…….
174-194	의식을 집중하고, 영혼을 앞으로───펠을 향해 밀어낸다.
174-195	그러자───,
174-196	───?
174-197	……
174-198	!?
174-199	"니아! 너 무슨 짓 한 거야!?"
174-200	"진짜 바보야!?⏎노골적으로 유인하는 적한테 뛰어들다니?"
174-201	"여긴 완전히 내 영역이야. 이 초특급 멍청이!"
174-202	"뭐, 덕분에 훨씬 수월해졌어, 큰 도움이야"
174-203	"특히 너는 제일 위험한 녀석이고……"
174-204	"정말 고마워!⏎그럼───내가 스스로 만들어 낸 '설치 영역' 중 하나로!"
174-205	"여긴 아껴 둔 곳이야!⏎'심상 풍경'에서는 정말, 뭐든 할 수 있으니까……!"
174-206	……이제 펠의 생각이 들리지 않아.
174-207	의식이 떨어져 나가는 듯한 감각…….
174-208	이 장소…… 이 기척───마치……,
174-209	"여긴…… '뒤의 거리'?"
174-210	"아까 말했듯이, 내 작품이자 내가 만든 장소야.⏎슬프네───니아는 그 방법조차 모르니까"
174-211	"한 번 만들어지면, 연습과 명상만 하면, 불러내는 건 한순간이야"
174-212	"여긴 마음의 자유를 강제로 빼앗는 가상의 적에 대비해 만든 장소……"
174-213	"───'데멘스 III'라고 부르고 있어"
174-214	"……당신은───"
174-215	"뭐……으아아!!?"
174-216	목……이……!
174-217	누, 누군가에게…… 목을 붙잡혀……,
174-218	숨이…… 안 쉬어져…… 뭐야!? 아무도…… 없는데!
174-219	"그건…… '생령'이야. 네 움직임을 봉쇄하지"
174-220	"아아 그 녀석들은 말이지……!⏎침전 웅덩이의 유령을 살짝 본떴어…….⏎하지만 살짝만───왜냐면, 실체를 지니고 움직일 수 있으니까"
174-221	"그래 그래 그래서 그 질식이 또 재미있어서 말이지……!⏎아아───안 돼. 못 해! 좋지 않아!⏎좋지 않아……또또 스포일러해 버릴 것 같아!"
174-222	"니아아…… 뭐든지 다 까발리게 만들려고!⏎───정말! 너라는 녀석은……"
174-223	"정말───너는 거슬려"
174-224	펠 쪽을 보려 하지만, 흐릿해서 초점이 잡히지 않는다.
174-225	눈만을…… 필사적으로 움직인다…….⏎이 악몽 같은 장소에서…… 힌트를 찾아서……,
174-226	펠에게…… 생각을…… 읽히는 느낌은…… 없어……,
174-227	평소라면…… 뭔가 말할 텐데……,
174-228	눈꺼풀이…… 무거워…….
174-229	펠은…… 어떻게…… 목을 조르고 있는 걸까…….⏎여긴, 내……,
174-230	……
174-231	내……,
174-232	마음속! 그래, 실체가 없는데 질식할 리가 없어!
174-233	그래…… '뒤의 거리'와 같아!
174-234	여긴…… 현실이 아니야, 나!
174-235	───갑자기 호흡이 돌아오고, 폐가 공기로 채워지는 걸 느낀다.⏎뒤를 돌아보니───역시 거기엔 아무것도 없다.
174-236	펠 쪽으로 다시 향한다.
174-237	"여기서 제일 큰 볼거리는 말이지…… 상대를 속여서, 믿게 만드는 것.⏎그렇게 되도록 규칙을 다시 썼어"
174-238	"엄청 엄청 엄～청 공들여,⏎정성껏 만들어 놨으니까, 다른 공간보다 함정을 걸어 두는 솜씨가 뛰어나"
174-239	"알려 줄게. 아쉽네.⏎두 번째든 세 번째든, 너는 깔끔하게 속아 넘어가"
174-240	……!
174-241	"다음은 캄캄한 어둠 속에서 익사하게 해 줄까…… 과연 어떤───으억!"
174-242	시야가 흐려져 가는 가운데……,
174-243	나는 있는 힘껏 의식을 집중해, 펠의 목을 이미지한다.⏎그 목 안쪽에서 기도가 조여 오는 모습을 그려 낸다…….
174-244	그리고 이 장소가 조각조각 무너지는 모습을 간절히 소망하자……,⏎지진 같은 소리가 나기 시작했다.
174-245	펠이 기침하는 소리가 들린다.
174-246	눈꺼풀을 감으면……,⏎그 너머에서 그녀가 히죽 웃고 있는 게 '보였다'.
174-247	펠은 내내 이걸 말했던 거야…….⏎이게 '뭐든지 가능'이라는 거야……?
174-248	……지금까지 생각조차 못 했어, '장'이나 '공간'째로 조종하다니.⏎조종할 수 있는 건 '본인'만이 아니야…….
174-249	하지만 펠이 보는 시야를 이해하고……,⏎그녀가 이뤄 내고 싶어 하는 소원을 알게 됨으로써……,
174-250	……펠은 이제, 진심으로 나와 맞서 싸울 생각인 거겠지.
174-251	물이 쏟아지는 소리가 들린다.⏎격렬한 바람, 발밑이 흔들린다.
174-252	뒤틀린 통로를 사이에 두고, 펠과 눈이 마주치고……,
174-253	그리고 별빛과 증오가, 두 사람 사이에 차오른다.
