# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
108-001	이건, 어제 일…….
108-044	"이 녀석, 심었을 당시엔 주변을 괴롭혀서, 정원을 접수할 뻔했어."
108-045	'괴롭히다'라니……?
108-046	"조여 죽인다는 거지!"
108-047	……알아보기 쉬운 제스처까지.
108-048	"플룸 포피는 넓은 범위로 씨를 날려 대.⏎나는 그걸 모르고, 여름에 피는 꽃이 보고 싶어서 심은 거야."
108-049	"뭐, 새끼가 너무 늘지 않게 하는 것과,⏎나머지는 제대로 손질만 하면 괜찮아.⏎……아니 진심으로, 이 잎 좀 봐! 자 이쪽───"
108-050	잎 뒷면까지 보여 준다.
108-051	"은색이지! 게다가 잔털이 이렇게나……귀엽다니까!"
108-052	뭐, 조금은.
108-053	"아이리스 씨, 채소도…… 기르고 있어요───!?"
108-054	"그래! 오늘은 그러라고 온 거야!"
108-055	아이리스는 근처 수납 상자 앞에 쭈그려 앉아 열고,⏎재빨리 원예용 장갑 두 켤레를 꺼내, 우리에게 던져 준다.
108-056	"당근이 제철이야! 도와주면,⏎아빠가 그걸로 케이크를 구워 줄 거야!"
108-057	당근 케이크? 호오……,
108-058	……좋아요. 우리는 소매를 걷는다.
108-059	실제로, 돕는 데 이의는 없다.⏎수확 같은 건 해 본 적 없지만, 겪어 보고 싶은 것 중 하나이긴 하다.
108-060	벌레가 닿을 때마다, 니아가 작게 소리를 낸다───.⏎장갑 너머인데도. 매번, 조금 웃음이 난다.
108-061	당근을 뽑는 요령은 장난감 손가락 덫과 같은 요령이래…….⏎뽑기 전에 한 번 밀어 넣고, 게다가 돌리거나 흔들어 주면 좋다나.⏎뿌리를 붙잡고 있는 부분을 떼어 낼 수 있다고 한다.
108-062	꽤 깊이가 있네요……!
108-063	……아이리스는, 정말 식물을 좋아하시는군요…….
108-064	"도와주러 와 줘서 고맙다! 즐기고 있어?"
108-065	"네, 네!"
108-066	끄덕여 답한다.
108-067	"종류가 정말 많아서……,⏎아이리스 씨에게, 이런 면이 있다니!"
108-068	"예전부터 해 온, 유일하게 놓지 않은 취미니까."
108-069	"우리 인간은 식물 덕을 보고 살아가───.⏎그래서 식물을 기르고 있으면, 세상을 조금만이라도 좋게 만들고 있다,⏎그런 기분이 들어."
108-070	"뭐, 이 녀석들이 귀여운 것도, 크긴 하지만!"
108-071	"……"
108-072	……여긴……혼자 쓰는 방이에요, 아이리스?
108-073	"아니, 나랑 여동생 둘이서 나눠 써."
108-074	"맞다! 여동생, 있으시죠!"
108-075	얼마나 귀여운데요?
108-076	"야야 뭐야?"
108-077	"오늘은 안 계세요? 인사할 수 있을까요?"
108-078	"아니, 있을 텐데……,⏎부끄러워서, 어디 숨어 있지 않을까."
108-079	"에─, 귀여워!"
108-080	귀여움, 검증 완료.
108-081	"태도는 완전히 안 귀여울 때도 있지만."
108-082	"……언니라면서, 여동생을 솔직히 귀엽다고도 못 하고."
108-083	"오, 뭐야 릴리? 너도 끼고 싶어?"
108-084	"……"
108-085	아이리스가 우리 쪽으로 돌아본다.
108-086	"가만히 있는 건, '네'라고 인정하고 싶지 않아서야."
108-087	릴리라 불린 아이가 등을 발로 차고, 아이리스가 웃는다.
108-088	……정말 사랑스럽다.
108-089	그대로 여동생에게 툭툭 차이면서, 아이리스가 계속 말한다.
108-090	"얘는 내 여동생 릴리. 열 살이야."
108-091	"릴리, 이쪽은 'AARC' 동료인 니아랑 스토리야."
108-092	"……"
108-093	"어질러져 있어서 미안해요……"
108-094	아이리스가 여동생을 끌어안아, 그대로 무릎에 앉힌다.
108-095	"미안하게 생각하면, 다음부턴 네 물건은 치워 둬!⏎친구 데려온다고, 말했잖아!"
108-096	'친구'…….
108-097	……
108-098	후후…….
108-099	지금이라면 나도……진짜 말로 그렇게 말할 수 있을까요.
108-100	"안, 안녕, 릴리. 실례하고 있어요……"
108-101	처음 뵙겠습니다, 릴리.
108-102	"말 안 하는 거야? 우리 반에도 몇 명 있어."
108-103	그 나이에?⏎어느 쪽이냐면 중2병 중 하나인 줄 알았는데요.
108-104	"너도 아직 중2병이야?"
108-105	제 경우엔, 확고한 논리와 이념 아래 하는 일이니까요.
108-106	"둘 다……아이리스, 좋아해?"
108-107	"얘!"
108-108	나는 끄덕인다.
108-109	"네, 네! 멋있으니까요!"
108-110	"……"
108-111	"흐으으음……"
108-112	"뭐야, 너는 아니야?"
108-113	"……하나하나 말하게 하지 마!"
108-114	"정말……반항기냐."
108-115	아이리스가 릴리를 안고 있던 팔을 푼다…….⏎릴리는 무릎에서 내리려 하지 않지만. 둘은 서로를 응시하고───.⏎얼마 후 아이리스는 얼굴을 찌푸리지만, 릴리는 입을 다문 채다.
108-116	후후.
108-117	자매를 보는 건, 처음이 아니다.⏎이게 평범한 광경인지까지는 모르겠지만…….⏎왠지, 그립다.
108-118	좋네, 이런 거…….
108-119	"'AARC'에서는 어떤 일을 해?"
108-120	"사, 사건 해결이에요……!"
108-121	상자를 열었어요.
108-122	"하……?"
108-123	"아리아와 화해했을 때, 상자 여는 걸 도와받았어."
108-124	"뭐, 신경 쓰지 마."
108-125	"흐음……그럼, 지금은 뭐 해?"
108-126	아직 말 안 했군요.
108-127	"아직 딱히 아무 일도 없었고, 별로 알려 주고 싶은 내용도 아니니까."
108-128	아이리스가 여동생 머리에 손을 얹는다.
108-129	"얘는 몰라도 돼, 잘 자란 애니까."
108-130	"설마 못된 짓 꾸미는 거야?"
108-131	"못된 짓을 파헤치려는 거야. 됐으니까, 잊어 둬!"
108-132	그렇게 말하고, 웃으며 저항하는 여동생을 간지럽히기 시작한다.⏎보고 있는 니아와 내 바인드가, 점점 밝은 색이 되어 간다…….
108-133	"얘들아, 케이크 다 됐다!"
108-134	"금방 갈게, 아빠!"
108-135	아아, 정말……,
108-136	……멋진 하루.
