# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
040-001	그럭저럭 진척은 있으려나…….
040-047	그 여자……프레이야였나. 입 무거운 정부 인간이고⏎만약 '난 사건에 깊이 관여하지 않았다' 같은 말을 들어도⏎솔직히 한 톨도 못 믿겠다. 절반짜리 진실……전형적인 '반쪽 진실'이다.
040-048	그런 쓰레기 같은 얄팍한 수작은 지겹도록 봐 왔고…….
040-049	근데 만약 정말 그 인간이 익명 신고자였다면……동기가 대체 뭐야?
040-050	……애초에 'AARC'가 무슨 뜻인데? 목적이 뭐야?
040-051	아 진짜, 왜 내가 이런 걸 생각해야 하는 건데…….
040-052	"……"
040-053	……
040-054	……뭔가 말하려던 거 아니었나?
040-055	"저, 저기……메이 씨는 음악을 좋아하시죠?"
040-056	또 '씨'를 붙인다…….
040-057	"그, 늘 헤드폰 쓰고 계시고……"
040-058	"'메이'라고 해.⏎……확실히 음악은 좋아하는데, 그게 지금 할 얘기야?"
040-059	"그, 저번에 보고 말았어요, 이것저것 하시는 걸───"
040-060	"……"
040-061	"……"
040-062	"저기……그, 솔직하게 물어볼게요……"
040-063	"음악, 좋아하시면서도 좋아하지 않으실 때도 있으세요?"
040-064	……으음?
040-065	……
040-066	그러니까…….
040-067	"혹시 어제 화내면서 음악 들은 게? 그런 거야?⏎화난 건 딱히 그런 이유가 아니야."
040-068	니아가 고개를 젓는다.
040-069	"그게 아니라……저, 그, 저는 그냥……"
040-070	"저는 늘 슬프고 짜증이 나요.⏎이것저것 생각하다 머릿속이 엉망이 돼서⏎그래서 힘들어지고 슬퍼지고───앗, 같은 말을 두 번이나 했네요."
040-071	"근데 게임하거나 영화나 애니를 보면 좀 괜찮아져요.⏎근데───또 도중에 울적해져서 힘들어지기도 하고⏎미래를 생각하면 무서워져서 몸이 차가워지는 것 같아서……"
040-072	"그, 그래요, 저 무서워요……."
040-073	"갑자기 무거운 얘기였을지도 모르지만, 아무튼 저는 무서워요……."
040-074	"아니. 그렇게 생각하는 게 보통이야. 그러니까……"
040-075	"그러니까 너는……"
040-076	"날 더 알고 싶다는 거야?⏎내가 뭘 싫어하는지 듣고 싶다는 얘기?"
040-077	니아는 천천히 내 눈을 보더니…….
040-078	……확실하게 고개를 끄덕였다.
040-079	……
040-080	"……흐응. 그럼 좀 더 이리 와.⏎그렇게 큰 소리로 말하고 싶진 않으니까."
040-081	테이블 너머로 살며시 몸을 기울인 뒤, 작은 소리로 말하기 시작한다.
040-082	"나 음악 만들어. 벌써 10년 넘게 하고 있어."
040-083	"프로야. 아마추어가 아니야.⏎음악으로 먹고살고 혼자 살아. 부모랑은 따로 살고."
040-084	"어, 어───어어!?"
040-085	"음악은……내 인생의 중요한 일부야. 모든 의미에서."
040-086	"그래서……당연히 음악은 좋아하지만⏎그것 때문에 이런저런 일이 있었던 것도 사실이라, 좀 싫기는 싫어."
040-087	"아마 요즘 그런 분위기를 풍기고 있는 걸지도……"
040-088	"하아……"
040-089	"그러네……응, 확실히 요즘 계속 짜증이 났었는지도."
040-090	내가 등받이에 기대자 니아도 허리를 폈다.
040-091	"해야 할 일을 전부 혼자 힘으로 감당해야 해서.⏎근데 앞으로 'AARC'까지 늘어난다고 하니 솔직히 벅차."
040-092	"혹시 그래서 내가 요즘 뾰로통하거나 음침하게 굴었다면 미안."
040-093	"아, 아뇨! 그런……그렇지 않아요! 음침하다니, 제가 더……"
040-094	"어쩔 수 없지, 이런 세상에선. 음침해지기도 하지."
040-095	"근데 누군가와 같이 있으면 조금은 편해지잖아……그치?"
040-096	"……! 네……!"
040-097	"집에 가면 또 곡이나 만들까…….⏎그보다 아까 뭔가 말하려던 거 있지 않았어? 사건 얘기."
040-098	"마, 맞다! 그러니까……"
040-099	"해커들은 공격을 두 번 예고했어요.⏎경찰한테 하는, 아……도발? 같은 느낌으로요.⏎게다가 표적이 둘 다 이 광장이라고 해요."
040-100	"첫 번째는 내일……오후 3시에.⏎다음은 다음 주 중간……그러니까 수요일일까요?⏎그쪽은 방과 후에 일어난대요."
040-101	"'방과 후'라고 진짜 그렇게 예고했어?"
040-102	"네."
040-103	그것도 '도발'이란 건가? 아니면 눈속임?⏎'범인은 학생이다'라고 믿게 하려는 건가?
040-104	"알았어. 다들한테도 전하자. 이 건에 대해 다른 것도⏎폰으로 좀 찾아봐 줄래? 메시지 보내고 나서 나도 같이 찾아볼게."
040-105	"스토리 건은 경찰서에서 여러 가지 알아낸 것 같으니⏎일단 스토리 쪽엔 더 이상 시간을 들이지 말자."
040-106	니아는 고개를 끄덕이고 바로 검색을 시작했다.
040-107	놈들의 계획을 아는 게 얼마나 의미가 있을지는 모르겠지만……,⏎뭐, 경찰만 아는 정보라면 도움이 될 때도 있으려나.
040-108	내 예상대로 해커들이 으스대는 놈들이라면⏎뭔가 큰 실수나 증거가 있을지도 모른다.⏎예고한 공격 중 하나에서 어처구니없는 실수를 저지를지도.
040-109	……어느 쪽이든 알아볼 가치는 있다.
040-110	좋아……어쩌면 전부 깔끔하게 정리할 수 있을지도.⏎잘되면 며칠 안에.
