# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
050-001	아마치 시…….
050-111	그때 프레이야 선생님의 팔에 더 힘이 들어간 것처럼 보였다.⏎아이리스 씨가 온몸을 떨고 있다.
050-112	───얼굴에서 핏기가 가신 것 같았다.⏎항의하려고 입을 연 참에…….
050-113	───내 앞을 가로질렀다. 스토리 씨다.
050-114	"자, 잠깐───"
050-115	나를 슬쩍 보면서도 그 발은 멈추지 않는다.
050-116	으윽……나 역시 너무 쓸모없다…….
050-117	"오, 같이 갈 생각이 들었나?"
050-118	"좋아. 그럼 여러분, 소란을 피웠구나. 이만 실례하마."
050-119	……수갑이 채워진 채 떠나가는 스토리 씨.
050-120	나는……움직이지 못한 채.
050-121	방금 그건……뭐였지……?
050-122	"하지 마라."
050-123	벗어나려던 아이리스 씨의 팔을 프레이야 선생님이 비튼다.
050-124	"무슨 셈이냐, 왜 체포를 막으려고 저항하지?"
050-125	"너야말로 무슨 셈이냐! 내가 왜 저항하는지 알아……?⏎이딴 불공평을 인정할 수 없으니까!"
050-126	"그래, 불공평하지. 그래서 네가 뭘 할 수 있지?"
050-127	으윽…….
050-128	"맞는 말이라고 생각해…….⏎저 사람들이랑 다퉈 봤자 네가 체포될 뿐이잖아.⏎현행범이야, 이번엔 누가 봐도 명백한 범행이야."
050-129	으으윽…….
050-130	"그럼 잡아가게 두면 되잖아!⏎난 말이야, 이런 상황을 못 본 척할 수는 없다고!"
050-131	……!
050-132	"구해 냅시다!"
050-133	"……잠깐, 너 말할 수 있었어?"
050-134	"구해 내는 거예요, 다 같이! 아까 우릴 감싸 줬을 때⏎그 애는 진심으로 말했어요. 진실이었어요! 그러니까 저……"
050-135	"저, 그 애를 믿어요! 무슨 혐의든 그 애는 안 했어요!"
050-136	"잠깐. ……아니, 진짜 잠깐. '구해 낸다'고 했어?⏎게다가 우리가? 어떻게……아니 애초에 뭘 하려고?⏎우린 변호사도 아니고 소녀 탐정단도 아닌데?"
050-137	"어라!?"
050-138	"게다가 아까 회의에선 확실히 화려하게 굴긴 했지만⏎……그 애가 어떤 앤지 솔직히 아직 아무것도 모르잖아?"
050-139	"그리고 그 앤 말을 안 하잖아. 대들 땐 정직했어도⏎경관 앞에선 폰에만 매달려 있었고……"
050-140	"저기, 내 생각엔 좀───"
050-141	"나는 니아의 발언이 마음에 들었다."
050-142	……
050-143	……어, 진짜로!?
050-144	프레이야가 아이리스를 놓아준다.⏎벗어나려 계속 버둥대던 아이리스는 그 기세로 잔디밭에 쓰러졌다.
050-145	"너희에게 주는 첫 과제다."
050-146	"스토리가 정말 결백하다면 석방될 수 있는 형태로 증명해 보여라.⏎다만……남에게 맡기지 마라, 진실은 너희 손으로 밝혀내라."
050-147	"과제 내용은 여기까지다. 질문은 없겠지?"
050-148	하고는 이쪽 대답도 기다리지 않고 등을 돌려 가 버리는 프레이야 선생님.
050-149	"그럼 나머지는 너희에게 맡기겠다."
050-150	하며 프레이야 씨가 꺼낸 건 아까와 같은 문고본…….
050-151	책을 펼치고는 그 밖엔 눈길도 주지 않고 걸어간다.
050-152	그러다 싶더니, 난데없이 멈춰 서서 어깨 너머로 이쪽을 봤다.
050-153	"아, 잊기 전에 말해 두지. 아까 그 회의실 열쇠 있는 곳이다."
050-154	"건물 정면 우편함 안에 있다.⏎죽치고 있든 마음대로 해라. 복사본을 만들어도 상관없다."
050-155	"우편함 자물쇠는 오른쪽으로 6, 왼쪽으로 2, 왼쪽으로 8이다."
050-156	"당신, 내일도 오는 거냐?"
050-157	프레이야 선생님은 그저 아이리스 씨를 가만히 마주 볼 뿐…….
050-158	……이번엔 정말 걸어가 버렸다.
050-159	……도와줄 생각은 없어 보인다. 뭐, 이제 와서 새삼스럽지만.
050-160	멀어지는 등에 대고 아이리스 씨가 한마디 내뱉는다.
050-161	"……빌어먹을 여자!"
050-162	……그리고 한동안 아무도 말이 없었다.⏎방금까지의 일 따윈 없었던 것처럼.
050-163	……이윽고 아야메 씨가 일으켜 주려 아이리스 씨에게 다가간다.⏎(아이리스 씨 본인은 꽤 귀찮아하는 눈치였지만)
050-164	"……"
050-165	"뭐랄까 엉망진창이네, 여러모로."
050-166	"……어어, 일단 순서대로 정리해 볼까."
050-167	그렇게 말하며 우리를 하나씩 가리켜 간다.
050-168	"아이리스……메이……니아."
050-169	"그리고 나, 이렇게.⏎……다시 한번, 아야메라고 해. 잘 부탁해.⏎근데 미안, 뭐라고 할지 생각하다 보니 분위기가 굳어 버려서……"
050-170	"……그래도 분명 괜찮아!⏎이런 소동 수습은 내가 꽤 잘하거든!"
050-171	오, 오오……! 그, 그 말은……안심해도 되는 걸지도!
050-172	"그러니 후딱 해치우기 위해서라도 바로 시작하죠!"
050-173	"우선 제니아 학군을 알아보자. 그 애랑 또 얘기해야 하니까."
050-174	"아니 걔는 얘기하기 싫어할 텐데……."
050-175	"야, 좀 조용히 해!"
050-176	"흥……."
050-177	'제니아 학교'?⏎아, 제니아 학원 말인가? 스토리 씨가 거길 다니는구나?
050-178	교복은 잘 모르지만……제니아 학교……?⏎분명 유학생이 많은 곳이었지?⏎스토리 씨, 외국 사람인 걸까?
050-179	"우리 중에 같은 구에 사는 사람이 있으면 면회할 수 있을 거야.⏎유치장 같은 데서 그 애 친구인데요─ 하면 될 거고."
050-180	"그런 걸 어떻게 아는 건데."
050-181	"친구 몇 명이 잡혀간 적 있거든. 그거 말고 뭐가 있겠어?"
050-182	"아니, 뭐……?"
050-183	"……오히려 체포된 적 없어? 한 번도?"
050-184	"없어. 그게 무슨 소리냐."
050-185	"체포됐을 것 같잖아, 그 분위기면!"
050-186	"한 대 맞을래, 너?"
050-187	"아하하! 앗, 아니, 미안 미안, 알았으니까!"
050-188	"근데 학군 같은 건 어떻게 알아보지?⏎난 이런 거 해 본 적 없어서 어쩌지."
050-189	"저기 이거 진짜 하는 거야? 진심으로? 아─……"
050-190	"하아, 제니아 학교? 확실해? 일단 그 애 풀네임 알아?⏎학교 데이터베이스에서 검색해 볼 테니까……"
050-191	"스토리 에티엔, 이지."
050-192	"……그러고 보니 고등학교 정보 모아 둔 사이트⏎폰에 북마크해 놨다. 기다려 봐."
050-193	아이리스 씨가 찾기 시작한 걸 보고 다들 잠깐 손을 멈춘다.
050-194	"……너희 둘, 고등학교는 효강이지?"
050-195	"난 벡고, 아야메는 아마치 학원…….⏎그리고 걔는 제니아 학교, 그럼……"
050-196	"……운 좋네, 제니아랑 효강 학군이 겹쳐.⏎너희 둘 중 하나면 면회 신청도 되겠지."
050-197	"……"
050-198	"후딱 해치우자, 시간 낭비하고 싶지 않으니까."
050-199	"움직이는 건 내일로 해 줘. 오늘 금요일이고…….⏎그, 할 일이 많아서. 이것저것 쫓기느라……솔직히 정말 여유가 없어.⏎……신청만은 일단 내가 해 둘 테니까."
050-200	"고마워……!"
050-201	……
050-202	"그, 저……아이리스 씨, 정말 도와주시는 건가요……?"
050-203	"그래, 할 거야. 뭐 걸리는 거라도 있냐?"
050-204	"히익……아, 아무것도 아니에요……."
050-205	"……? 아무튼 미리 말해 두는데⏎난 학점 따윈 아무래도 좋고, 그 여자가 시켜서도 아니야.⏎그냥 내가 옳다고 생각하는 걸 한다, 그뿐이다."
050-206	……
050-207	"……그럼 정해진 거지?"
050-208	"니아, 폰 꺼내."
050-209	"어, 네에!? 뭐, 뭐……에?"
050-210	"진짜 호들갑이네."
050-211	"커넥트 친구 등록만 할 거니까! 자, 얼른 꺼내."
050-212	"엇!? 아, 아아……네."
050-213	"고장 난 녹음기냐."
050-214	"엇, 앗, 으……"
050-215	"후훗!"
050-216	정신없이 폰을 건넨다. 얼굴이 뜨거워 견딜 수 없다.
050-217	메이 씨, 아이리스 씨도 폰을 꺼내서⏎다 같이 친구 등록을 마치자 아야메 씨에게서 그룹 DM 초대가 왔다.
050-218	: )
050-219	안녕하세요!
050-220	.
050-221	헤, 헤헤헤.
050-222	고생은 실컷 했지만 이건 괜찮은 느낌일지도.
050-223	나한테도 친구가 더 생겨 버렸다…….
050-224	"알아서들 붙어 놀아라 찐따들. 난 그런 거 안 하니까."
050-225	"그래서 다른 건 없냐? 난 슬슬 갈 건데."
050-226	"응, 오늘은 돌아갈까. 메이도 볼일이 있는 것 같고…….⏎아무래도 좀 너무 많은 일이 있었지."
050-227	"앞으로 일은 내일 제대로 얘기하자!"
050-228	"아, 알겠습니다……!"
050-229	───문득 해산하기 직전.
050-230	……단 1초, 아니 그저 한순간뿐이려나.
050-231	……다 같이 하늘을 올려다봤다.
050-232	"……"
050-233	"……"
050-234	……가볍게 서로 고개를 끄덕이고⏎작별 인사를 나눈 뒤 우리는 각자 집으로 향했다.
050-235	……
050-236	정신없는 하루였다…….
050-237	그러자 메이 씨가───
050-238	"그럼."
050-239	"……앗───"
050-240	모퉁이를 돌아 금세 보이지 않게 됐다.
050-241	으윽…….
050-242	으음…….
050-243	어떡하면 좋을지 엄마 아빠한테 상의하자.⏎……특히 메이 씨한텐 일을 늘려 버린 셈이고…….
050-244	그렇게 생각하며 나는 집으로 걷기 시작했다.
050-245	"역시 아무것도 안 했다는 게 거짓말 아니야?⏎폰 너머로는 뭐든 말할 수 있잖아."
050-246	"우연인지, 진짜 범인이 따로 있는지, 아니면 공범인지……밝혀내라."
