# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
114-001	"뭐야, 그게?"
114-043	"너희들, 보고 있었어. 꽤 힘들어 보이더라."
114-044	"너희들, 이대로 괜찮을 것 같아?"
114-045	"왜 그런 걸 물으세요……?"
114-046	"왜일까. 그냥 불안해서인지도 몰라."
114-047	"누군가 너희가 하는 일을 알게 되면,⏎'보고서를 위한 조사' 이상의 속셈이 있어 보일지도 몰라."
114-048	"……"
114-049	"왜요? 우리가 보고서를 쓴다는 걸?"
114-050	"나, 여자애든 남자애든, 귀여운 애한테는 눈이 밝거든.⏎게다가 상처받은 사람은, 보고 싶지 않잖아?"
114-051	"나한테 중요한 건, 네 마음의 평온이니까."
114-052	아……! 역시 그렇구나!
114-053	그런데 왜 굳이, 현실 세계에서 나를 만나러……!?
114-054	……
114-055	여기서라면, 혹시……,
114-056	……나, 뭘 망설이는 거야?
114-057	나는, 그녀에게 다이브해서───.
114-058	───!?
114-059	"아─…… 나, 놀리기는 잘 못 하는 모양이네."
114-060	어?
114-061	뭐───,
114-062	뭐야!? 대체 뭐가…….
114-063	실패한 거라는 거야……?
114-064	이번에야말로……,
114-065	……또, 또……!?
114-066	어째서……!?
114-067	"불안하게 했다면, 미안. 그래도…… 그 초대는 사양할게."
114-068	……??……???
114-069	"그래도 정말. 다들 무사했으면 좋겠어."
114-070	"여기가 어떤 곳이고 무슨 일이 벌어질 수 있는지, 잊으면 안 돼."
114-071	"조심하겠다고 약속해 줘."
114-072	"……"
114-073	"저, 그러니까───"
114-074	"무, 무리예요, 왜냐면…… 당신이 누군지 모르니까요……"
114-075	"아─…… 그건 말할 수 없어. 아직은."
114-076	"그래도 아쉽네……"
114-077	"내가 더 뭘 할 수 있을지는 모르겠지만, 지켜보고 있을게."
114-078	"만약 상황이 악화되고, 그래도 내가 할 수 있는 게 있다면…….⏎그때는, 힘내 볼게."
114-079	"눈치채지 못했을지도 모르지만,⏎이제 우리, 누구 하나 무관하지 않으니까."
114-080	어……?⏎이 사람…… 'AARC' 다른 지부 사람인 걸까?
114-081	"그래. 우리 모두 남 일이 아니야……"
114-082	"……모든 건 자유를 위해서, 말이지."
114-083	……!
114-084	손을 흔들고는 그녀는 걸어가 버렸다.
114-085	"……"
114-086	"프, '프리덤'…… 왜 그 말을 한 거지?"
114-087	"그, 그것도 그렇고, 방금 건 뭐야, 진짜……? 다이브하려다───?⏎우연……? 그 사람, '초대'라고 했는데……"
114-088	대체 뭐가 벌어지고 있는 거야…… 안 돼, 머릿속을 정리해야 해…….
114-089	으으으으──! 그런데 다이브 얘기는, 아무한테도 상의할 수도 없고!⏎아 정말──! 으아아아아──!
114-090	끼끼끼……,
114-091	방금 전부, 내 상상이 만들어 낸 환영이었으면 좋겠다…….⏎딱히 전문가도 아니고…….
114-092	아───! 모르겠어! 아무것도 모르겠어!
114-093	불안에 시달려, 손톱을 깨물고, 혼잣말을 중얼거리며,⏎나는 집으로 돌아가는 길을 느릿느릿 걷기 시작했다…….
