# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
232-001	그리고 또 하루가……끝났다.
232-062	"태어난 인간은, 모두 이 시스템에 따라야만 합니다.⏎그렇지 않으면 무수한 사람이 죽어요. 바인드는 우리 전원이 달고 있고,⏎뗄 수 없습니다───아무리 떼고 싶어도"
232-063	"뭐야……그런데 네가 말한 대로, 그 논거는 전승이라며……"
232-064	"우리가 생각하고, 말하고, 느끼는 모든 것을, 에이브는 알고 있어요"
232-065	"당당하게 에이브 얘기를 하고 있지만, 하늘이 떨어질 기색이 있나요?⏎사흘 전은? 몇 달 전, 니아가 다이브와 거짓말을 익혔을 때는?"
232-066	"우, 거짓말한다는 걸 그런 식으로 말하지 마세요……!"
232-067	"……그건 그렇고, 결국 이거, 어떻게 해야 하는 걸까"
232-068	"남의 머리를 주무르는 건, 별로 기분 좋은 건 아니지만……,⏎그래도 실제로 도움이 된 것도 사실이니까"
232-069	"……? 무슨 뜻이에요?"
232-070	"지난 사건 때 나, 이오의 자백을 받으려고 다이브했어.⏎며칠 전, 하우스에게 방해당했을 때도, 다이브해서 어떻게든 됐고"
232-071	이오라니……나를 함정에 빠뜨린, 그 해커에게 다이브를?
232-072	놀랐다. 꽤 직접적인 협박을 메이가 했다고 들었는데.⏎다이브까지 하지 않으면, 그의 마음을 바꿀 수 없었다는 거야?⏎……그것도 참, 불온하네.
232-073	뭐, 그렇게 머지않아, 저 불손한 태도를 마주치게 되거나,⏎하는 일은 없겠지만…….
232-074	"특히 하우스 때는 다행이었지───그대로 몰아붙여졌으면,⏎키츠에게 눈치채였을지도 몰라. 그러면 꽤 골치 아팠을 거고"
232-075	"그, 그랬던 거구나……아, 아아! 그래서 떠올랐어요!"
232-076	"하우스 선생님, 그때,⏎'프리덤 플랜'에 대해 얘기하지 않았나요!?"
232-077	"그래? '사비에르'를 조사할 때, 몇 번이나 나왔던 이름이지?"
232-078	"얘기했지……그런데, 진심으로 그거에 발을 들일 셈이야?⏎'프리덤 플랜'이 뭐든, '사비에르'가 얽혀 있어……"
232-079	"니아, 잊었을지도 모르지만, 조금 있으면 죽을 뻔했어.⏎우리 전원이 죽고, 가족까지 휘말릴 뻔했어"
232-080	"……발은커녕, 이미 어깨까지 푹 잠겨 있는 것 같은데"
232-081	"……네가 한 일 때문에 말이지"
232-082	"중요한 건, 지금, 앞으로라고 생각해요……!"
232-083	"자자, 진정해. 니아 말이 맞아,⏎현황은 이렇고, 우리는 그걸 마주해 나가는 수밖에 없어"
232-084	"우리에겐 '힘'이 있고, 니아는 거짓말을 할 수 있어…….⏎그래서 앞으로 어떻게 할 거야?"
232-085	그리고 일제히……,
232-086	……아야메 쪽을 봤다.
232-087	"……"
232-088	"……"
232-089	"거듭 말하지만, 당분간 다이브는 삼가자"
232-090	"……그래서 당분간은 프레이야의 지시를 따르는 거야"
232-091	"프레이야?"
232-092	……
232-093	"어딘가로 이끌려 하고 있다는 건……틀림없을 테니까"
232-094	"우리는 지금, 같은 배를 타고 있어.⏎……아니, 'AARC'에 빗대려던 건 아니고"
232-095	"아무튼 항로는 이대로 나아가야 한다고 생각해"
232-096	"……어때?"
232-097	잠시 침묵이 흐른 뒤……우리 모두가 끄덕였다.
232-098	"정해졌네……그럼, 우선은……"
232-099	"있잖아, 슬슬 좀 쉬는 게 어때……?"
