# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
220-001	……젠장.
220-030	……몇 번을 들어도, 머리 나사가 빠진 것 같은───잠깐.⏎헬비의 영상과 의사를 처음 발견한 게, 나였던가?⏎먼저 눈여겨본 건 츠루였잖아? 그래서 다들한테……,
220-031	아니지. 그건 꿈이었으니까───그런 거지?
220-032	어떻게 된 거야, 이거?
220-033	!!
220-034	윽……머리가……!!
220-035	훅 사라지는, 모두의 모습과 바닥.
220-036	견딜 수 없이 나는 쓰러진다.
220-037	뭐야……어디야……여긴……뭐……야……?
220-038	빙 둘러보니……조금 떨어진 곳에……,
220-039	펠이 있었다. 천을 덮은 가구에, 한쪽 무릎 세우고 앉아 있어.
220-040	"헬비는 좀 나간 주장을 하지만, 그 뜻은 숭고해"
220-041	"옛날의 너라면, 찬동했을지도 몰라. 아이리스?"
220-042	……
220-043	"빨리 일어나, 연극 같은 건 됐으니까.⏎이렇게 자신을 분할하는 거, 꽤 힘들거든.⏎내 시간과 집중력을, 헛되게 하지 마"
220-044	……천천히 일어선다. 좋아……머리도 이제 지끈지끈 아프지 않아.
220-045	"아프지 않을 거야, 이제 괴롭히는 걸 그만뒀으니까.⏎아무튼 지금은 얘기나 하자"
220-046	앉아 있던 가구에서 엉덩이를 떼고, 펠이 이쪽으로 다가온다.
220-047	"……아이리스. 너는 말이야, 니아 케나에게 전면적으로 찬성인 거야?"
220-048	……니아에게? 뭐라고?……무슨 얘기야?
220-049	"슈라우드를 부수고 싶냐는 얘기야"
220-050	"……"
220-051	"그 녀석은…….⏎그냥 기세라든가, 멋부리려고 그렇게 말한 거잖아. 아니야?"
220-052	펠은 고개를 젓는다…….
220-053	"진심이었어, 한 마디 한 마디까지.⏎우리 니아는 거짓말을 할 수 있어, 그런데 그때는 본심이었어───라고"
220-054	그리고 자신의 두 눈을 가리킨다.
220-055	"나에게는 보여───느껴진다고 해도 좋아"
220-056	"……그런가……"
220-057	"실은 보여, 나에게는───뭐든지!……즉 나는!"
220-058	"만물에 통하고 있고, 만능인 거야"
220-059	"……그래서 엄청 오만하고"
220-060	"그렇지만, 조금만 말이야"
220-061	"아이리스───너는 나와 가장 닮았어.⏎그래서 너를, 가장 잃고 싶지 않아"
220-062	"편이 돼 준다면, 얼마나 기쁠까……"
220-063	"……잘도 말하지.⏎고문질한 데다……정수리까지 쏴 버리고……!"
220-064	"정수리 정도가 아니야. 위도, 아래도……이 근처를 통째로.⏎대략, 상반신 전체를 날려 버린 느낌일까"
220-065	펠은 손가락을 펼쳐, 자기 몸으로 직접 보여 준다.
220-066	"강렬한 인상을 줄 수 있다고 생각했어……! 아니었어?"
220-067	"뭐……강렬한 중상을 입었어"
220-068	"하하!"
220-069	갑자기 손가락으로 가리켜져, 나도 모르게 움찔해 버린다.
220-070	"말 잘한다!"
220-071	"……"
220-072	"뭘 하고 싶은 거야, 너?"
220-073	"인류를 구하고 싶어"
220-074	"그거 또 무겁네"
220-075	"그렇지? 진심이니까, 무겁지"
220-076	"나 말이야, 굉장히 무서워, 아이리스"
220-077	"무섭고 무서워서 견딜 수가 없어───죽는 게"
220-078	"진지하게 마음 깊은 곳부터, 죽고 싶지 않아"
220-079	"……"
220-080	"우리와 너희 그룹은 말이지, 보고 있는 게 달라……"
220-081	"너희는 그렇지……산그늘에서 다 같이 산을 올려다보고 있을 뿐이야.⏎그런데───"
220-082	"그런데 그림자란, 태양에 비춰져 생기는 거야.⏎한편 내가 있는 곳은 거기야───그저 햇빛만 바라보는 게 아니고"
220-083	"내가 있는 곳은 태양───그 전능한 광륜, 광관에 있어.⏎그리고 봤어……"
220-084	"봐 버렸어!"
220-085	……
220-086	"……우리 머리 위, 거기 펼쳐지는 이 새까만 유리 구름을 말이야……,⏎이야말로, '천상' 그 자체! 알겠어!?"
220-087	"예를 들어 너에게 한 것처럼!"
220-088	"그런 것조차 극히 일부,⏎여기서 이룰 수 있는 것 중, 아주 일부분에 불과해!"
220-089	"즉 너는……신이 되고 싶은 거야……?⏎'심상 풍경'에서?"
220-090	"아니. 아니야! 나는 그 안에서, 불멸이 되고 싶은 거야!"
220-091	"그리고 모든 것을 나는 갖고 싶어!"
220-092	"그리고 너에게도, 모든 것을 손에 넣길 바라.⏎우리 모두 전부가───영원이 되는 거야!"
220-093	"설령 인류가 '심판'을 통과한대도───!"
220-094	"이 구조를 부순대도 안 돼,⏎그 '시간'이라는 괴물 때문에, 우리는 언젠가 죽어!"
220-095	"그런 건, 이제 지긋지긋해!"
220-096	"죽음 따위, 이제 지긋지긋해. 병도, 고통도, 슬픔도……,⏎인생에서 일어날 수 있는, 온갖 괴로움이 끔찍해───.⏎인생의 목적이 행복의 추구만은 아니라는 거야!?"
220-097	"이제 지긋지긋해! 너도 그렇지!?"
220-098	"영혼을, 육체에서 분리하는 것도 할 수 있어……,⏎여기서 '살아가는' 것도 할 수 있는 거야……!"
220-099	"그런데……모두를 구하려면……1분, 1시간, 1초의 시간이 아까워.⏎지금은 아직 꿈인 채로, 조금으로는……실현할 수 없어.⏎이론은 나무랄 데 없는데, 실천이 따라가지 못하고 있어"
220-100	"……너무 노골적으로 말하자면 말이지. 시간이 필요한 거야.⏎'인류를 높여'서 '심상 풍경'으로 안내하려면 말이야.⏎그리고 당연히, 뛰어난 동료도 말이지"
220-101	"……그런데 너희 다섯은 우리를 돕기는커녕,⏎스스로 썩어 가고 있어……그렇다고 내버려 두면……"
220-102	"……게다가 너희 일당에게는 니아가 있어.⏎그 애는 제멋대로 말하는 사이에, 더 나쁜 짓을 저지를지도 몰라"
220-103	"……"
220-104	"뭐……네 말이 이해가 안 가는 건 아니지만……"
220-105	"……"
220-106	"확실한 대답은, 아직 못 해. 이건───"
220-107	"……나 혼자서 대답할 수 있는 게 아니야. 아직은"
220-108	"……"
220-109	"아직 그 동료들이 필요한 거구나……"
220-110	"……"
220-111	"……아~, 난감하네……"
220-112	……?
220-113	"사실은 더, 빨리 움직여야 했어.⏎……그런데, 너희 다섯은 신중하게 상대하고 싶었어"
220-114	"좋아. 그럼 우리는 적으로 남겠다"
220-115	"알고 있었어……모두와 친구가 될 수 없다는 건.⏎그래도 한 번은 시도해 볼 만하다고 생각했어. 적어도 너와는 말이지"
220-116	"다시 한번 시도해 보는 것도 나쁘지 않겠네"
220-117	"……"
220-118	"그럼, 잘 있어! 또 만나자……"
220-119	……
220-120	와, 두고 가는 거야……? 뭐 괜찮지만……,
220-121	아니……,
220-122	……어쩌지, 여기서부터?
