# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
235-001	여긴……,
235-058	"이런───이런 건, 비밀로 해야 해……!⏎만약 실천사가 일어나면 어떡하려고───!?"
235-059	"아아, 괜찮아요, 괜찮으니까.⏎───이걸 숨겨 두는 것에는, 찬성이에요"
235-060	"마음은 좀, 알겠습니다……신들의 분노를 사기 십상인,⏎확실히 그런 느낌도 드니까. 그런데, 아직 실해는 없어요.⏎오히려 다른 요인이, 비밀로 해 둬야 할 이유로서 더 크다고 봅니다"
235-061	"우리가 마음을 조종할 수 있다고 세상에 알려지면…….⏎아무리 세상을 향해 진실을 말해도, 믿어 주지 않게 됩니다.⏎그뿐만 아니라, 순식간에 사회의 따돌림을 당하겠죠"
235-062	"뭐, 그렇게 되겠네. 그래서 진실을 말한다고 하면……"
235-063	……으으……,
235-064	메이가 똑바로 나를 보고 있었다.
235-065	"아까 말하려다 만 또 하나의 비밀, 뭐야?"
235-066	……
235-067	그럼……다들한테……,
235-068	……털어놓을까.
235-069	"……"
235-070	"거짓말을 할 수 있어요, 저. 바인드에 반응되지 않고"
235-071	"……정말!?"
235-072	"하아!?"
235-073	"그래서 언제부터 할 수 있었어?"
235-074	"……"
235-075	"경찰서에 간 때부터……"
235-076	"메이, 이거 알고 있었어……?"
235-077	"뭐. 그럴 것 같았어"
235-078	"거짓말이 서툰 니아가 지금까지 둘러댈 수 있었던 건,⏎다름 아닌 바인드가, 발언의 진실을 증명했기 때문이야.⏎누구에게도 의심받지 않은 이유는, 그저 그뿐"
235-079	으그그……,
235-080	"일단 묻는데, 지금까지도 많이 거짓말해 왔어?"
235-081	"안 했어요……!"
235-082	"그것도 거짓말이야?"
235-083	"아니에요!"
235-084	"봐, 이게 골칫거리야.⏎우리에게는 이제, 니아 말이 어디까지 진실인지 모를 수가 없어"
235-085	"……"
235-086	"진짜냐고……"
235-087	"저도 거짓말을 할 수 있어요. 스마트폰으로"
235-088	"그런데, 왜 저는 믿을 수 있는 거죠?"
235-089	"솔직히……친 글자 전부는 안 믿어"
235-090	"호오……"
235-091	"뭐 타당, 하네요"
235-092	"거짓말 감지가 없는 편이, 저는 살기 편하지만……"
235-093	"그야……말 없는 사람은 다 그렇잖아"
235-094	"어라. 방금 건 차별인가요?"
235-095	"그럴 리가……! 이런 때에 장난치지 좀 마!"
235-096	"실례실례……"
235-097	"……"
235-098	"니아……나는───"
235-099	"……"
235-100	"……역시 안 되겠어. 나는 거짓말 같은 건 못 해"
235-101	그렇구나, 나뿐인 모양이야.
235-102	"그대로야……"
235-103	"니아의 바인드……이상한 거 아니야?"
235-104	"게다가 너, 전에 말했잖아……!⏎천상을 떨어뜨린다든가……그래서 이런……이런 게……!"
235-105	그런, 그건 진심이 아니라……!
235-106	"그래도 말했잖아!"
235-107	아─ 네, 말했어요……,
235-108	"윽!!"
235-109	"최악……!!"
235-110	아야메 씨는 이를 악물면서, 이마에 손톱을 눌러 댄다…….
235-111	"'사비에르'에 결판이 나면 이제 안심인가 싶었는데,⏎한순간이라도 안심한 내가 바보 같아!"
235-112	"게다가 '마인드스케이프'에, 에이브……"
235-113	"그뿐만 아니라, 니아는 거짓말을 할 수 있다니……!?⏎신들이 뭔가 하면, 대체 어떻게 할 셈이야!?"
235-114	……아무리 그래도 거기까지는……,
235-115	"그만둬. 어느 입으로 '거기까지'라니 하는 거야?⏎이게 얼마나 심각한지 알잖아.⏎설마 이런 일에 휘말릴 줄이야───"
235-116	"진심이야? 그만큼 프레이야에게 무리하게 시켜 놓고,⏎앞으로는 편해질 거라든가, 진짜로 생각하고 있었어?"
235-117	"아니, 딱히───!! 나는, 그저───!⏎……그, 여러 일이 너무 많아서 프레이야까지 생각하고 싶지 않을 뿐이야"
235-118	"아무튼……이제 무리야! 이제 지긋지긋하다니까, 알라니까!?"
235-119	아아……,
235-120	"이제……이런 얘기 하고 싶지 않아"
235-121	"한동안 아무것도 몰랐던 척하고 지내고 싶을 정도로……"
235-122	"미안해. 지금, 기분이 최악이야. 알겠어?"
235-123	"정말 당분간, 내 앞에서 이 얘기 하지 마. 듣고 싶지도 않으니까……"
235-124	"……부탁이야"
235-125	"아아……알았어"
235-126	"……"
235-127	"아, 그런데 하나만……"
235-128	……
235-129	……?
235-130	아야메 씨가 나를 보고 있어…….
235-131	"……"
235-132	"적어도……거짓말을 할 때는, 앞으로 할 거라고 알려 줄래?⏎아니면, 하면 했다고 말해 줘"
235-133	뭐───!?
235-134	"물론이죠……! 그래서 오늘, 진실을 말한 거예요!"
235-135	"이제 다들한테 거짓말 같은 거 하고 싶지 않으니까!"
235-136	"흐에, 다들이라니 우리만?"
235-137	"그럴───……에!? 아, 아니에요───"
235-138	……! 으……하필이면……,
235-139	"……"
235-140	"항상 마음대로 할 수 있는 건 아닌 모양이네?⏎뭐, 알고 있었지만. 그런 걸로 어떻게든 되는 걸까"
235-141	실례잖아!? 믿을 수가───!
235-142	아야메 씨……!
235-143	어떻게 그런 말을……!?
235-144	"으……"
235-145	"시끄러워! 친구가 아닌 사람한테는 하면 되잖아!?"
235-146	"전부, 친구를 위해서 하는 거예요!⏎그런 것도 이해해 주지 못하는 거예요!?"
235-147	"이해받지 못해도 해 줄 거예요. 몇천 번이라도───!"
235-148	"쉿……여기서 그 얘기는 그만둡시다"
235-149	"에!? 싫어요! 그럼 어디서 얘기할 수 있는데요!?⏎프레이야 씨 앞에서요!?"
235-150	"진정해요. 우선 주말에 뭔가 생각해 봐요"
235-151	"……말할 장소가 필요하면, 메이 방을 쓸 수 있을 거예요"
235-152	"……에, 지목해 줘서 고마워"
235-153	"이유는 알겠죠?"
235-154	"……"
235-155	"내 집은 주변에서도 떨어져 있고, 자취니까.⏎비밀 얘기에는 안성맞춤, 이라는 거지"
235-156	"뭐, 딱히 상관없지만……"
235-157	"……"
235-158	"……"
235-159	"니아?"
235-160	"응……알았어요"
235-161	……아직 좀 불안하고, 엄청 울컥했다.
235-162	아야메 씨라면, 제일 '이해해 줄' 거라고 생각했는데…….
235-163	부르르 고개를 흔든다.⏎애초에 나는, 아직 아야메 씨를 잘 아는 게 아니다.
235-164	그러니까 분명, 그녀의 '마인드스케이프'에서는,⏎속마음까지는 그렇게 안 보였던 거겠지. 메이와는 달리.
235-165	……
235-166	뭐, 앞으로……변해 갈지도 모르지만.
235-167	지금은……응, 우선은 침착해야 해.
235-168	나는 다들과 친해지고 싶어……그러니까 다들을 존중하는 거야.
235-169	그러니까 괜찮은 거야.
235-170	뭐든지, 될 대로 될 테니까.
