# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
193-001	춥네…….
193-045	……둘이서 얘기를 시작하고 있었다.
193-046	그렇다고 해도, 그다지 활기찬 대화가 있는 것도 아니다.⏎나에 관해서 말하자면, 평소와 그렇게 다르지 않다.⏎물론 서로 새가슴처럼 긴장하고 있다는 점만 빼면, 말이지.
193-047	그렇게 말하는 사이에, 올해도 남은 게 5분, 인가……,
193-048	"저기…… 아이리스?"
193-049	"뭐, 뭐어, 뭔데!?"
193-050	"있잖아…… 나, 너한테 솔직하게 말해야 할 게 있어"
193-051	그만둬! 솔직하게 답해야 하게 돼!
193-052	그리고 뭐든 전부, 엉망이 돼 버려……!
193-053	"하고 싶은 건, 거의 전부라니깐.⏎나는…… 이것저것 숨긴 채로 있어 왔으니까"
193-054	"코, 코, 코에부스 카일에서 거짓말을 했던 거야?⏎그건 죄라는 거지, 하하, 하……"
193-055	"그렇네……"
193-056	……웃어라! 부탁이야!
193-057	"굳이 말하자면…… 그, 무서워"
193-058	"나 있잖아, 내가, 정말로 무서워"
193-059	……
193-060	……하아?
193-061	"그리고 누군가와, 깊은 인연을 가지는 것도 무서운 모양이야"
193-062	"졸업하면 다들 남이 되어서, 그 뒤를 알지도 못하게 되고.⏎어른이 되어서, 일 관련 사람밖에 교제도 없어지고,⏎마지막에는, 그저…… 나, 사라져 버릴 뿐이라고"
193-063	"나도, 다들도, 언젠가 사라져 버린다고.⏎그렇게 생각하니, 발을 들이기 어려워져…… 손을, 내밀 수 없게 돼.⏎좀 스토리 씨 같으려나?…… 하지만 달라, 그게 아니야"
193-064	"왜냐면 나, 소중히 여기지 않는 게 아니니까.⏎……그저, '끝까지 소중히 못 할' 뿐이고"
193-065	"……'끝까지 소중히 못 한다'? 그게 무슨───"
193-066	"니아가 키츠와 대결하는 걸 보고 나서부터려나,⏎특히 그렇게 느끼게 됐어"
193-067	"니아가 거짓말을 할 수 있다고 들은 뒤에 한 내 말도……,⏎다섯으로는 못 당할 무언가에 손을 대 버렸다고,⏎그렇게 생각했을 때 느낀 것도……"
193-068	"펠에게 얼굴을 지면에 눌려,⏎지면과 내가 구별이 안 될 정도가 됐을 때도……"
193-069	"생각했어…… 줄곧……,⏎'아아, 나는 참 더럽구나'라고"
193-070	뭐야……,
193-071	뭐야 이거, 어떤 고백이야……?
193-072	나도 모르게 몸을 움츠렸다, 스토리 씨 때처럼 되지 않을까 하고.⏎……하지만 어딘가에서 전혀 다르다고도 생각했다.⏎아야메 본인이 그 녀석과 닮지 않았다고, 그렇게 말한 것처럼.
193-073	내게는…… 도무지 모르겠다.⏎진심으로 이게, 무슨 얘기인지.
193-074	정적이 잠시 이어지다가,⏎스르륵 일어나, 아야메가 창가로 걸어갔다.
193-075	밤하늘을 향해 쏘아 올려진 불꽃이───,
193-076	───아득히 멀리, 아야메의 등 뒤에서 터졌다.
193-077	"아이리스는 나한테 마음을 열고 대해 주는데,⏎그런데 나는 전혀 그렇지 않아……"
193-078	"하나만 들어 줄래"
193-079	"……뭘?"
193-080	"고백할 게 있어"
193-081	심장을 도는 피가, 한겨울 바람처럼 차가워진다.
193-082	흔들리는 눈동자를 가만히 응시하며, 아야메의 말을 기다린다.
193-083	"……"
193-084	"나 있잖아, 아이리스……"
193-085	"어쩔 수 없이, 마음 깊은 곳에서…… 진심으로, 정말 진심으로"
193-086	"……"
193-087	"내가…… 진짜 싫어"
