# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
034-001	"으음……저 가게도 문을 닫는구나……"
034-041	"짭새라는 건 기본적으로 말썽이나 귀찮은 일을 피하고 싶어 해.⏎문제가 생기면 바로 서류 작업이라는 거지."
034-042	내 어깨를 주무르듯이 아이리스 씨가 귓가에 속삭인다.
034-043	"넌 침착하게 사실만 말하면 돼. 그게 다야."
034-044	……
034-045	그렇구나, 그거면 되는구나…….
034-046	"……감사합니다!"
034-047	아이리스 씨는 그 말을 듣고 내게서 물러났다.⏎그대로 우리 넷은 접수 창구 중 하나로 향한다.
034-048	"안녕하세요! 오늘은 무슨 일로 오셨나요?"
034-049	심호흡……시임호흡…….
034-050	"……저기, 스토리 에티엔 씨는……,⏎여기 갇혀 있는 건가요?"
034-051	"확인해 드릴게요───다만 먼저 용건을 여쭤봐도 될까요?"
034-052	"저, 그 애 친구 중 한 명인데……오늘은 그 애 다른 친구들이랑 같이⏎면회할 수 있을까 해서 왔습……앗, 맞다, 저희───아 아니,⏎저는 그 애랑 같은 학군인데요, 어, 그리고 여기 메이 씨도 같고……"
034-053	허둥대면서 겨우 학생증을 꺼냈다.⏎메이 씨와 다른 사람들도 따라 꺼낸다.
034-054	창구 너머, 우리 학생증을 받은 남자가⏎한 장씩 스캐너에 넣고 컴퓨터 정보와 학생증을 대조하고 있다.
034-055	"네, 그럼 조금만 더 기다려 주세……아, 문제없어 보이네요.⏎그럼 네 분 다 이 목록을 확인해 주시겠어요?⏎다들 정직한 건 알지만 뭐, 규칙이라서요."
034-056	그렇게 말하며 접수원이 카운터 위의 뭔가를 가리킨다.⏎나는 물론이고, 뒤에 있던 다들도 그걸 들여다봤다.
034-057	거기엔 반입 금지 물품 목록(무기, 술, 담배……)과⏎면회 규칙이 적혀 있었다. 접촉 금지, 물품 전달도 금지…….
034-058	"전부 제대로 읽어 주세요. ……확인하셨나요?"
034-059	모두 네, 하고 답한다.⏎───누구의 목 주위에도 아무것도 떠 있지 않다.
034-060	"감사합니다.⏎그럼 오늘, 반입 금지품을 가지고 오신 분 계신가요?"
034-061	이번엔 모두 아니요라고 답한다───이것도 사실이다.
034-062	"그럼, 여기 적힌 규칙도 지켜 주시는 거죠?"
034-063	그것도 '네'라고 답하고───다만 아야메 씨가 하나 덧붙인다.
034-064	"따를게요. 그런데 제 폰을 걔한테 빌려주는 건 괜찮나요?⏎그 애가 말을 안 해서……대화에 필요하거든요."
034-065	"그냥 평범한 폰인가요?⏎무기로 개조했다거나, 안에 뭘 숨겨 두진 않았죠?"
034-066	"네."
034-067	"면회가 끝나면 제대로 회수해 주신다면 괜찮아요."
034-068	"약속할게요."
034-069	"잘 부탁드립니다.⏎곧 면회실로 안내할 담당자가 올 테니, 조금만 더 기다려 주세요."
034-070	"감사합니다."
034-071	접수 창구에서 물러나자, 아야메 씨가 이쪽을 보며 고개를 끄덕였다.
034-072	"수고했어, 니아."
034-073	"앗, 어……응……"
034-074	……잘해냈어. 해냈지.
034-075	로비에 서서 기다리자,⏎이윽고 직원이 우리가 면회하러 온 사람들이냐고 물었다.⏎네, 하고 답하자 그 여직원이 면회실까지 우리를 안내해 줬다.
034-076	……여기까지 오는 길엔 사무 공간뿐이고⏎감방 같은 건 없었다……뭐, 당연한 걸까. 잘 모르겠지만.
034-077	……대기 시간이 좀 기네.
034-078	……?
034-079	뭔가 들리는……?⏎……뭐랄까, 굉장히 레트로한 게임 같은 소리가⏎게다가 엄─청 낡아 보이는 스피커에서 나는 것 같기도 하고…….
034-080	이, 이상한데…….
034-081	"모셔 왔습니다."
034-082	스토리 씨가 이쪽으로 걸어오……는……아니, 어어!?
034-083	"……?? 스, 스토리 씨, 그거……?"
034-084	게, 게임하고 있어!?
034-085	스토리 씨는 손에 든 작은 반투명 단말기에 집중하고 있었다.⏎그리고 겉모습과 소리로 보아, 하고 있는 건 아마……,⏎응, 초창기 슈팅 게임인 것 같다.
034-086	그리고 스토리 씨는 게임을 일시정지하고⏎우리 맞은편에 앉았다…….
034-087	───그래도 역시 한마디도 하지 않는다.
034-088	"이거, 써."
034-089	아야메 씨가 자기 폰을 스토리 씨에게 건넨다.⏎스토리 씨는 그걸로 디스커넥트를 켜고……,⏎아마 자기 계정으로 앱에 로그인한 모양이다.
034-090	왜 저를 만나러 오셨어요?
034-091	"오면 안 됐어?"
034-092	네 분 다 저를 모르잖아요.
034-093	"나도 그렇게 말했는데……"
034-094	메이 씨가 거의 안 들릴 정도의 작은 목소리로 중얼거린다.
034-095	저는 결백하니까 어차피 곧 풀려날 거예요.
034-096	학업이나 평판에 좀 영향이 있을지도 모르지만요.⏎별일 아니니까요.
034-097	……잠잠해질 때까지는 여러분도 저랑 엮이지 않는 게 좋을 것 같아요.
034-098	아, 그리고 혹시 저를 걱정하시는 거라면, 괜찮으니까요.
034-099	"그게, 그렇게는 안 되거든."
034-100	"……?"
034-101	"프레이야 씨───그 담당 선생님한테 들었어.⏎이 사건을 조사해서, 가능하면 네 혐의를 벗기라고."
034-102	"……"
034-103	그 사람, 진짜 머리가 어떻게 된 거죠?
034-104	"이런 데 1초도 더 있고 싶지 않으니까, 얼른 시작하자.⏎애초에 대체 무슨 혐의로 체포된 거야?"
034-105	""""해킹""""이라고 하네요
034-106	"인터넷에 불법 접속, 그런 거냐?⏎……근데, 그 따옴표 흉내는 뭐냐."
034-107	"해킹을 오해하는 사람은 지금도 세상에 많거든.⏎대부분 사회공학인데 말이야."
034-108	"사회……뭐라고?"
034-109	"보통 해킹은 엄청난 양의 코드를 들여다보고⏎건드려서 반응을 보는, 대기 시간이 긴 작업이야.⏎툴 하나 써서 끝, 인 경우도 있고."
034-110	"그래서 뛰어난 '해커'는 사회공학을 활용해.⏎사람을 속여서 정보를 캐내는 쪽이 편하니까.⏎코에부스 카일에서 몇 안 되는, 거짓말이 통하는 곳───인터넷에서."
034-111	"인터넷에서 보안 의식 높은 사람은 거의 없고⏎보통 비밀번호도 돌려 쓰잖아."
034-112	"그래도 요즘은 공용 와이파이도 대부분 안전하긴 해.⏎지난 200년 동안 인터넷은 꽤 안전한 편이고. 다만……"
034-113	"비밀번호 관리자는 필수야. 무료로도 괜찮은 게 꽤 있어."
034-114	응응…….
034-115	"……대단하네."
034-116	"그래서 무슨 해킹이야?"
034-117	스토리 씨가 다시 폰을 조작하기 시작한다…….
034-118	어떤 해커 집단이 있는데, 저를 그 일원으로 보는 모양이에요.
034-119	"이름 같은 건 있어, 그 그룹?"
034-120	4.10.7.2───'죽음과 여름'입니다.
034-121	"……그룹 이름이 숫자야? ……무슨 짓을 하는 그룹이야?"
034-122	주로 정보 유출이나 어그로, 그런 쪽이에요.
034-123	"이봐, 국가반역죄라니 진심이야……?"
034-124	아직은, 이에요.
034-125	"아아……걔들이구나."
034-126	"들어 본 적 있어, 메이?"
034-127	"응,⏎얼굴을 안 공개한 크리에이터 정체를 까발리는 놈들이라, 좀 그래."
034-128	"아─……소설가 '삼사' 같은 얘기?⏎사실은 중학생이었잖아? 그것도 걔들 짓이었냐?"
034-129	오…….
034-130	"아, 아이리스 씨는……삼사 책을 읽으시는군요……?"
034-131	"내가 아는 사람 중에 그 작가 팬이 있을 뿐이야."
034-132	"그 외에는 정부의 권한 남용 같은 것도 유출했던 것 같고.⏎뭐 벌써 2년 전이고, 나도 자세히 알아본 건 아니라 잘은 몰라."
034-133	"2년……그렇게 지났는데, 찾아낸 용의자는 한 명뿐이야?"
034-134	그들이 꽤 조심스러운 모양이니까요. 하지만 가장 큰 이유는……,⏎역시 아직 국가에 위협이 되지 않는다고 판단되기 때문이겠죠.
034-135	다만, 아마치 시 경찰은 그룹 멤버가⏎시내에 잠복해 있다고 확신하는 모양이에요.⏎국가안전성이 나서기 전에 매듭짓고 싶은 거겠죠.
034-136	국가안전성이……!?
034-137	"놀랄 일도 아니에요. 오히려 그들의 범행 내용을 생각하면,⏎낙원 감사관이 아직 개입하지 않은 쪽이 더 놀라워요."
034-138	"참고로 수백 년 전이었다면 확실히 개입했을 거예요.⏎잡지식이지만, 그 시절이라면 올베르도에 급증하는 도시 인구와⏎그 여러 문제에 대응하려고 조직을 세분화하기 전이었으니까요."
034-139	뭐, 그렇지…….
034-140	"그래서 너는 그 일원이 아니야?"
034-141	스토리 씨가 고개를 젓는다.
034-142	"……그럼 그렇게 증언하고, 이런 데서 빨리 나가려는 생각은 안 해?"
034-143	죄송해요.⏎그런 식의 거래에는 응하지 않아요, 살아 있는 한은요.
034-144	"그럴 수가……"
034-145	"근데, 국가안전성이 관여한다는 거잖아? 알잖아, 그……"
034-146	"……"
034-147	아야메 씨가 한숨을 쉬었다.
034-148	"……그렇구나. 꽤 '신념이 강한 사람'이네, 너……"
034-149	"……"
034-150	"뭐, 그래도 아까 말한 대로, 너를 돕는 게 우리 일이니까.⏎뭔가 도움이 될 만한 거, 경찰이 뭐라 한 건 없었어?"
034-151	달리 들은 건 없어요.
034-152	경찰은 말 없는 상대에게는 고전적인 수법을 쓰니까,⏎심문 중에 저한테 주는 정보는 꽤 골라서 줄 거예요.
034-153	제 혐의에 이렇다 할 확증도 없을 테니, 언젠가는 풀려나겠죠.⏎……그때까지 몇 달이 걸릴지, 그보다 더 걸릴지는 모르겠지만요.
034-154	저도, 그 담당자의 과제도⏎없던 일로 해도 괜찮다고 봐요, 여러분은.
034-155	"짜증 나네."
034-156	……어?
034-157	"그 태도가 맘에 안 들어───누명을 쓰고 순순히 잡혀 와서는⏎이번엔 유치장에서 몇 달을 허비해도 상관없다는 거야?"
034-158	게임기며 책도 빌릴 수 있어요. 학교에 못 나가는 건 뼈아프지만,⏎풀려나면 바로 원래 생활로 돌아가서 만회할 수 있을 테니까요.
034-159	"너, 교환 유학생이지?⏎본국에 있는 부모님한테는 이 일 얘기했냐?"
034-160	물론이죠.
034-161	"그래서 부모님은 뭐라셨대? '알아서 하렴'이라고라도 하셨냐?"
034-162	"……"
034-163	"……야, 이제 가자.⏎이 녀석이 제대로 자기 인생을 마주할 생각이 없다면,⏎내가 대신 해 줄 테니까."
034-164	……
034-165	아, 아이리스 씨……방금 그 말, 진심이야……?
034-166	그런 건…….
034-167	……
034-168	"그런데 말이야, 스토리……우리가 가기 전에 하나만 묻자."
034-169	"너를 체포하기로 결정했다는 건,⏎경찰한테 그만한 승산이 있었다는 소리야."
034-170	"네가 4.10.7.2 멤버가 아니라고 한다면, 나는 믿어.⏎근데, 그래도 걸리는 게 있어───"
034-171	"그래도 용의자로 오른다는 건, 너……,⏎해킹으로 전에도 잡힌 적이 있다는 거 아니냐?"
034-172	"……"
034-173	……스토리 씨가 뭔가를 입력했다.⏎그런데 이쪽에 보여 주지도 않고,⏎테이블 반대편에 있는 아야메 씨에게 폰을 통째로 건넸다.
034-174	우리가 아야메 씨 주위로 모이는 사이,⏎스토리 씨는 자리에서 일어나 등을 돌리고 그대로 떠난다.⏎올 때처럼 게임을 하면서 유치장으로…….
034-175	메모장이 열린 폰에는 이렇게 적혀 있었다───.
034-176	제 얘기를 해 줄 의리는 없어요.
034-177	곧바로 아야메 씨가 디스커넥트로 전환한다───맞다, 그런 수가 있었지!⏎스토리 씨 계정 기록을 보면, 분명───.
034-178	아아……응…….
034-179	깔끔하게 로그아웃돼 있다…….
034-180	멀어져 가는 스토리 씨의 뒷모습을 다 같이 배웅한다.⏎스토리 씨는 이쪽을 돌아볼 기색도 없이……,⏎그대로 간수에게 이끌려 방을 나선다.
034-181	짧지만 어색한 침묵을 깬 건 메이 씨였다.⏎제일 먼저 자리에서 일어나, 안내해 준 경관에게 걸어간 메이 씨는───.
034-182	"솔직히 저 사람 말이 맞다고 봐."
034-183	아이리스 씨와 아야메 씨, 그리고 나는 아직 말문이 막힌 채.
034-184	……조금 있다가, 겨우 자리에서 일어난 우리는 면회실을 나섰다.⏎메이 씨 뒤를 따라.
034-185	"그렇게 사람을 낚아서 꾀어내고,⏎개인정보 같은 걸 쉽게 빼 가는 거야, 때로는 돈도."
034-186	대부분은 거리 전광판 점거예요.⏎그리고……아직 국가반역죄까지는 아니지만, 유출 대상과 내용을 보면⏎꽤 아슬아슬한 데까지 가고 있네요.
