# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
051-001	……참나, 어처구니가 없다.
051-023	"특히 너랑……그 어두워 보이는 놈,⏎그 우물쭈물하는 놈 옆에 있던───"
051-024	"메이? 아니면 니아 말이야?"
051-025	"그래, '메이'다. 너희는 어떻게 그렇게 침착할 수 있는 거냐?"
051-026	"메이는 모르겠지만……난 그냥 침착한 게 나을 것 같아서."
051-027	"허, '그게 낫다'고?"
051-028	"그 상황에서 허둥대는 것도 안 좋잖아.⏎그래서 나 자신한테 계속 되새겼어, 침착하게, 침착하게, 하고."
051-029	"……좀 징그럽네."
051-030	"아니, 처음엔 나도 당황했거든?⏎경찰이 왔을 땐 분명 엄청난 색이었을걸.⏎넌 이쪽을 안 봤고 나도 내 기분 같은 건 안 봤지만."
051-031	"흐응……"
051-032	"야, 넌 잡혀간 적 있냐?"
051-033	"어? 없어 없어, 있을 리가 없잖아."
051-034	"흐응, 그럼 나쁜 여자 취향인 거네."
051-035	"하?"
051-036	"말했잖아, 체포된 친구가 있다고. 그거 거짓말 아니었고."
051-037	"근데 딱히 불량배 같은 건 아니거든!"
051-038	"난 스스로도 제법 불량하다고 생각하는데⏎그래도 잡혀간 적은 없어. 체포될 정도면 나보다 심한 거잖아."
051-039	"그만해……그렇게 드문 일도 아니잖아,⏎학생이 경찰 신세 지는 거……"
051-040	"네가 어마어마하게 쓰───…"
051-041	"……"
051-042	"……흥, 됐다, 그만할게."
051-043	나는 시선을 살짝 돌려 차창 밖을 본다.
051-044	"저기."
051-045	?
051-046	"뭔가 좀 더 얘기하지 않을래? 도착까진 아직 한참이고."
051-047	"……그래, 그러지."
051-048	"옆에 앉아 줄래?"
051-049	……
051-050	뭐 상관없지만.
051-051	……다시 한 번 아야메의 바인드를 본다.
051-052	"……목줄 색, 또 흙빛이 됐다."
051-053	조금 움츠러드는 아야메. 얼굴도 살짝 흐려졌나?
051-054	"스토리도 그때 침착했어. 분명 괜찮을 거야."
051-055	"게다가 걔가 뭔가 저질렀다고는 나한텐 안 보여."
051-056	"왜? 그 앤 말을 안 하잖아."
051-057	"……너 차갑구나. 바인드는 흙빛 그대론데.⏎걔 걱정 안 되냐?"
051-058	"걱정되는 게 당연하지. 근데 아직 알게 된 지 얼마 안 됐잖아.⏎100% 믿는 건 귀엽다는 이유만으로는 못 믿어."
051-059	"게다가 바인드로 따지면⏎그런 사람들은 바인드가 없는 거나 마찬가지잖아."
051-060	"뭔가 좀 무섭지 않아? 모르겠지만."
051-061	"속고 있을지도 모른다고?"
051-062	"그 말 없는 애 때문에 뭔가에 휘말릴지도 모른다는 거야."
051-063	"……딱히. 그보다 너 편견투성이구나.⏎내 체포 이력이니 뭐니, 벡고 전원이 감방 가는 건 아니거든.⏎게다가 말 안 하는 애도───해 끼치는 애 아닌 거 알잖아."
051-064	"그럴지도. 근데 진짜……일이 너무 많아."
051-065	"뭔가 넷이서 어둠 속에서 허우적대는 것 같지 않아?⏎만에 하나 그 애가 실은 나쁜 짓을 했을까 봐 좀 불안해……"
051-066	"애초에 이 상황 자체가 너무 부자연스럽다랄까……"
051-067	……그건.
051-068	"……그렇게 생각하지!?"
051-069	"틀렸으면 미안한데?⏎너 혹시 돈 때문에 참가한 사람이야?"
051-070	"그래."
051-071	"그렇지, 그럴 것 같았어. 딱히 의욕이 있어 보이지도 않고."
051-072	"프레이야 씨도 프레이야 씨야,⏎전혀 신경 쓰는 것 같지도 않고, 오히려……"
051-073	"……"
051-074	"게다가 그 사람, 경찰이 온 뒤에 꼭 순간이동한 것처럼 나타났잖아.⏎널 제압할 때도 이상할 만큼 침착했고⏎꾸며내는 것 같지도 않았어."
051-075	"……그 사람, 경찰이 온다는 걸 알고 있었던 거 아니야?"
051-076	"……"
051-077	"그러니까 그건가, 그 여자가 스토리를 체포당하게 만들었다는 거냐?"
051-078	"응, 그렇게 생각해."
051-079	"근데 그 사람 정부 관계자잖아?"
051-080	"대놓고 묻는 건 좀 무섭다랄까……"
051-081	"서명한 그 계약서가 점점 불안하게 느껴졌어……"
051-082	젠장…….
051-083	뭐, 그렇다고 해도 말이야.
051-084	"끝에 가선 어떻게 되든 매한가지잖아."
051-085	좌석에 기대 나는 다시 창밖을 올려다봤다.
051-086	"살 수 있는 한 계속 산다, 그뿐이다.⏎그 여자가 이쪽을 어떻게 해 보려 한다면 그땐 그때고."
051-087	"싸울 수 있으면 싸운다.⏎무리면? 당연히 안 한다. 그뿐이잖아."
051-088	"흐응."
051-089	"너 역시 그런 사람이구나."
051-090	……하아?!
051-091	"넌 다르냐? 반대로 이 세상에 다른 놈이 있긴 하냐?"
051-092	곁눈으로 나를 한참 바라보더니 풋 하고 웃음을 터뜨렸다.
051-093	"아마……그런 얘기를 하려면 조금 더 시간이 필요할지도."
051-094	"흐응, 뭐든 떠들 줄 알았더니. 펼친 책에도 닫힌 쪽이 있다 이거냐."
051-095	"풋……뭐야 그거, 어디서 그런 대사를 배웠어?"
051-096	"말 그대로 책을 펼쳐서인데?"
051-097	"오……?"
051-098	"후훗."
051-099	"……저기, 피곤해졌어. 도착할 때쯤 깨워 줄래……?"
051-100	그렇게 말하자마자 눈을 감고 그대로 잠들어 버린 모양이다.⏎분명 진작 한계였겠지.
051-101	대답은 하지 않고 마음속에만 담아 둔다.⏎……그래, 알았어.
051-102	또 오늘이라는 하루가 타서 사라졌다.
051-103	───나도 생각해 볼까. 눈을 감고 이것저것.
